citation_as_title,authors,abstract,journal,year,url,source,matching_index,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
"Wright, Nataliya. “When local learning scales: Entrepreneurs' initial users and market expansion.” Organization Science (Forthcoming).",Nataliya Wright,"Entering new markets is crucial for technology startups to scale, yet these ventures often face high uncertainty about demand in these markets. This study examines how the composition of initial users shapes startups’ new market growth amid such uncertainty. It theorizes that startups face a learning tradeoff when targeting a foreign market: Local initial users, who are more familiar to the startups, provide clearer signals due to shared language and norms; however, more representative foreign users provide more transferable insights about the target market. Using variation in feature timing on a product platform, this study finds that startups with a higher share of local initial users prior to platform launch experience greater growth in foreign users afterward. This effect is stronger when startups are based in more linguistically homogeneous countries and operate in globally standardized digital product categories, settings where the clarity benefits of local signals outweigh their transferability costs. In contrast to prior work suggesting that startups should begin with target users, this study reveals contexts when more familiar initial users can better foster new market growth and prevent premature scaling.",Organization Science,Forthcoming,https://business.columbia.edu/faculty/research/when-local-learning-scales-entrepreneurs-initial-users-and-market-expansion,School Website,100,Goal 8,0.02812671661293873,False,
"Mike W. White, and Rebecca Ponce de Leon . “Less “awe”-some art: How AI diminishes the empathic power of the arts.” Journal of Experimental Social Psychology vol. 122, (Forthcoming).doi: 104840",Mike W. White and Rebecca Ponce de Leon,"The arts are widely recognized for their profound psychological and social benefits. Although historically viewed as a uniquely human pursuit, art is increasingly created with artificial intelligence (AI). In the current work, we explore whether AI-generated art evokes the same emotional reactions and inspires the same interpersonal benefits as human-created art. Integrating appraisal theories of emotion and philosophical accounts of the arts, we propose that art believed to be AI-generated elicits less awe than human-created art, which in turn diminishes empathy. Across five preregistered studies (N = 1598), we find consistent support for these relationships across multiple artistic media (visual and literary) and participant samples (art museum patrons, online participants, and community members). Although art is often an effective conduit for fostering empathy, our findings reveal that AI-generated art may lack the capacity to inspire awe in the same way as human-created art, diminishing its ability to cultivate empathy. This work reveals that responses to art are shaped by beliefs about its creator, raising important questions about the emotional and social consequences of AI's growing role in creative domains.",Journal of Experimental Social Psychology,Forthcoming,https://business.columbia.edu/faculty/research/less-awe-some-art-how-ai-diminishes-empathic-power-arts,School Website,100,Goal 16,0.0145410940199342,False,
"Yue, Lori and Yusaku Takeda . “Organizational Nationalism.” Research in Organizational Behavior (Forthcoming).doi: https://doi.org/10.1016/j.riob.2025.100219","Lori Yue, Lori Yue, and Yusaku Takeda","The global rise of nationalism has distorted the neoliberal vision of a borderless world where the nationality of businesses would be rendered obsolete. While nationalism can promote solidarity and progress, it also has the potential to deepen social divisions and fuel conflict-realities that organizations cannot ignore. In this paper, we propose a theory of organizational nationalism, which positions organizations not merely as passive responders to nationalist institutional pressures or geopolitical risks but as active agents in shaping nationalistic beliefs, values, and policies. Through theorizing how organizational nationalism manifests and functions, we offer insights into how organizations harness nationalism to motivate employees, cultivate consumer loyalty, and secure sociopolitical legitimacy, and how such engagement may eventually become an organizational commitment that shapes its nationalist character. This perspective fills a critical void in nationalism research by emphasizing the intermediary role played by organizations between the state and individual levels of nationalism. It also offers a unifying framework for the fragmented literature on nationalism in business, which spans topics from state influence on organizational forms to managing ""foreignness"" in multinational corporations. We conclude by outlining a research roadmap and promising research methodologies in this area.",Research in Organizational Behavior,Forthcoming,https://business.columbia.edu/faculty/research/organizational-nationalism,School Website,100,Goal 16,0.01599814184961848,False,
"Polemarchakis, Herakles , Larry Selden , and Xinxi Song . “The Identification of Attitudes Towards Ambiguity and Risk from Asset Demand.” Economic Theory (Forthcoming).","Herakles Polemarchakis, , Larry Selden, Larry Selden, , and Xinxi Song","Individuals behave differently when they know the objective probability of events and when they do not. The smooth ambiguity model accommodates both ambiguity (uncertainty) and risk. For an incomplete, competitive asset market, we develop a revealed preference test for asset demand to be consistent with the maximization of smooth ambiguity preferences; and we show that ambiguity preferences constructed from finite observations converge to underlying ambiguity preferences as observations become dense. Subsequently, we give sufficient conditions for the asset demand generated by smooth ambiguity preferences to identify the ambiguity and risk indices as well as the ambiguity probability measure. We do not require ambiguity beliefs to be observable: in a generalized specification, they may not even be de ned. An ambiguity free asset plays an important role for identification.",Economic Theory,Forthcoming,https://business.columbia.edu/faculty/research/identification-attitudes-towards-ambiguity-and-risk-asset-demand,School Website,100,Goal 17,0.00417421913808156,False,
"Lemmens, Aurelie , Jason M.T. Roos , Sebastian Gabel , Eva Ascarza , Hernan Bruno , Brett R. Gordon , Ayelet Israeli , Elea McDonnell Feit , Carl F. Mela , and Oded Netzer . “Advancing Personalization: How to Experiment, Learn & Optimize.” International Journal of Research in Marketing (Forthcoming).","Aurelie Lemmens, , Jason M.T. Roos, , Sebastian Gabel, , Eva Ascarza, , Hernan Bruno, , Brett R. Gordon, , Ayelet Israeli, , Elea McDonnell Feit, , Carl F. Mela, , and Oded Netzer, Oded Netzer","Personalization has become the heartbeat of modern marketing. The rapid expansion of individual-level data, the proliferation of personalized communication channels, and advancements in experimentation have fundamentally reshaped how firms tailor their marketing strategies. Furthermore, causal inference and machine learning enable companies to understand how the same marketing action can impact the choices of individual customers differently. This article provides an academic overview of these developments. We formalize personalization as a causal inference problem embedded in the test and learn framework. We review key challenges and solutions that arise when personalization is approached through causal inference, including data limitations, treatment effect heterogeneity, policy evaluation, and ethical considerations. Finally, we identify emerging research trends stemming from new methodologies, such as generic and double machine learning, direct policy learning, foundation models, and generative AI.",International Journal of Research in Marketing,Forthcoming,https://business.columbia.edu/faculty/research/advancing-personalization-how-experiment-learn-optimize,School Website,100,Goal 4,0.01467833770024972,False,
"Blanchard, Simon , Nofar Duani , Aaron Garvey , Oded Netzer , and Travis Oh . “New Tools, New Rules: A Practical Guide to Effective and Responsible GenAI Use for Surveys and Experiments Research.” Journal of Marketing (Forthcoming).","Simon Blanchard, , Nofar Duani, , Aaron Garvey, , Oded Netzer, Oded Netzer, , and Travis Oh","Generative Artificial Intelligence (GenAI) tools based on Large Language Models (LLMs) are quickly reshaping how researchers conduct surveys and experiments. From reviewing the literature and designing instruments, to administering studies, coding data, and interpreting results, these tools offer substantial opportunities to improve research productivity and advance methodology. Yet with this potential comes a critical challenge: researchers often use these systems without fully understanding how they work. This article aims to provide a practical guide for effective and responsible GenAI use in primary research. We begin by explaining how GenAI systems operate, highlighting the gap between their intuitive interfaces and the underlying model architectures. We then examine different use cases throughout the research process, both the opportunities and associated risks at each stage. Throughout our review, we provide flexible tips for best practice and firm, non-negotiable rules for effective and responsible GenAI use, particularly in areas pertaining to ensuring the validity of GenAI coded responses. In doing so, we hope to help researchers integrate GenAI into their workflows in a transparent, rigorous, and ethically sound manner. Our accompanying website (questionableresearch.ai) provides supporting materials, including reproducible coding templates in R and SPSS and sample pre-registrations.",Journal of Marketing,Forthcoming,https://business.columbia.edu/faculty/research/new-tools-new-rules-practical-guide-effective-and-responsible-genai-use-surveys,School Website,100,Goal 12,0.01508486811361198,False,
"Sun, Jennifer J and Michel Tuan Pham . “What Makes Consumption Experiences Feel “Special”? A Multimethod Integrative Analysis.” Journal of Consumer Research (Forthcoming).","Jennifer J Sun, and Michel Tuan Pham, Michel Tuan Pham","This paper addresses a simple theoretical question of high substantive relevance: What makes a consumption experience special in a consumer’s mind? To answer this question, the authors report an extensive multi-method investigation involving a grounded theory analysis of numerous consumer narratives and in-depth interviews, a field survey, a scale development study, a natural language processing analysis of more than 3 million Yelp reviews, a preregistered multi-factor causal experiment (and its preregistered replication), a blind comparison of hundreds of matched visual Instagram posts by third-party observers, and several small application studies. The findings converge in identifying three major psychological pillars of what makes consumption experiences feel special to consumers, each pillar involving different facets: (a) uniqueness, which arises from the rarity, novelty, irreproducibility, personalization, exclusivity, ephemerality, and surpassing of expectations of the experience; (b) meaningfulness, which pertains to the personal significance of the experience in terms of symbolism, relationships, self-affirmation, and self-transformation; and (c) authenticity, which relates to the perceived genuineness and realness of the experience in terms of its psychological proximity to some original source, iconicity, human sincerity, and connection to nature. As illustrated in the General Discussion, the findings have important substantive implications for the engineering of hedonic consumption experiences.",Journal of Consumer Research,Forthcoming,https://business.columbia.edu/faculty/research/what-makes-consumption-experiences-feel-special-multimethod-integrative-analysis,School Website,100,Goal 12,0.01312428631962187,False,consumer behavior; responsible consumption
"Toubia, Olivier . “Better Innovation for a Better World.” Journal of Marketing (Forthcoming).","Olivier Toubia, Olivier Toubia","We aim to stimulate discussion on how innovation research within marketing can use a better world (BW) perspective to help innovation become a driver of positive change in the world. In this ""Challenging the Boundaries"" series paper, we hope to provide purposeful research opportunities for scholars seeking to bridge innovation research with the BW movement. We frame our discussion with four areas of innovation research in marketing that are particularly relevant to BW objectives. We discuss how the innovation process may be disrupted by potentially relinquishing customer centricity and embracing the constraints imposed by BW objectives. We explore how firms should organize for BW innovation, both in terms of who should be involved in the process internally and externally, and how the workforce and firm should be structured to support BW innovation. We then consider consumer response to innovation from a BW perspective, examining drivers of adoption behavior regarding BW innovations and how these innovations should be marketed. We also explore post-adoption behavior, as well as helping consumers resist adoption in certain contexts. Finally, we discuss how markets for BW innovation may be created and sustained, and how external constituencies (i.e., government, lawmakers, and academic communities) could shape these markets.",Journal of Marketing,Forthcoming,https://business.columbia.edu/faculty/research/better-innovation-better-world,School Website,100,Goal 9,0.04452318950839074,False,industrial innovation; innovation; policy environment for innovation
"Ascarza, Eva , Oded Netzer , and Julian Runge . “Personalized Game Design for Improved User Retention and Monetization in Freemium Games .” International Journal of Research in Marketing (Forthcoming).","Eva Ascarza, , Oded Netzer, Oded Netzer, , and Julian Runge","One of the most crucial aspects and significant levers that gaming companies possess in designing digital games is setting the level of difficulty, which essentially regulates the user’s ability to progress within the game. This aspect is particularly significant in free-to-play (F2P) games, where the paid version often aims to enhance the player’s experience and to facilitate faster progression. In this paper, we leverage a large randomized control trial to assess the effect of dynamically adjusting game difficulty on players’ behavior and game monetization in the context of a popular F2P mobile game. The results highlight the intertwined dynamics of customer retention and monetization in such settings. As expected, offering players an easier game significantly decreases purchases in the specific round played — faced with an easier game, users do not need to resort to in-game purchases to make progress. However, because lowering the game difficulty increases both immediate engagement and long-term retention, lower difficulty levels result in a significant increase in customer spending both in the short and long run. We find substantial heterogeneity in the strength of these effects. Customers who are more prone to making progress in the game exhibit stronger effects in both the short and long run, whereas customers who previously spent money on the game exhibit stronger effects in long-term monetization. We leverage these insights to demonstrate how the focal firm can use dynamic game difficulty adjustment to further increase revenues from both advertising and premium services and to recommend personalized product design strategies for freemium apps more broadly.",International Journal of Research in Marketing,Forthcoming,https://business.columbia.edu/faculty/research/personalized-game-design-improved-user-retention-and-monetization-freemium-games,School Website,100,Goal 17,0.01498996704464031,False,
"Ascarza, Eva , Oded Netzer , and Julian Runge . “Personalized Game Design for Improved User Retention and Monetization in Freemium Games .” International Journal of Research in Marketing (Forthcoming).","Eva Ascarza, , Oded Netzer, Oded Netzer, , and Julian Runge","One of the most crucial aspects and significant levers that gaming companies possess in designing digital games is setting the level of difficulty, which essentially regulates the user’s ability to progress within the game. This aspect is particularly significant in free-to-play (F2P) games, where the paid version often aims to enhance the player’s experience and to facilitate faster progression. In this paper, we leverage a large randomized control trial to assess the effect of dynamically adjusting game difficulty on players’ behavior and game monetization in the context of a popular F2P mobile game. The results highlight the intertwined dynamics of customer retention and monetization in such settings. As expected, offering players an easier game significantly decreases purchases in the specific round played — faced with an easier game, users do not need to resort to in-game purchases to make progress. However, because lowering the game difficulty increases both immediate engagement and long-term retention, lower difficulty levels result in a significant increase in customer spending both in the short and long run. We find substantial heterogeneity in the strength of these effects. Customers who are more prone to making progress in the game exhibit stronger effects in both the short and long run, whereas customers who previously spent money on the game exhibit stronger effects in long-term monetization. We leverage these insights to demonstrate how the focal firm can use dynamic game difficulty adjustment to further increase revenues from both advertising and premium services and to recommend personalized product design strategies for freemium apps more broadly.",International Journal of Research in Marketing,Forthcoming,https://business.columbia.edu/faculty/research/using-natural-language-processing-analyse-text-data-behavioural-science,School Website,100,Goal 17,0.01498996704464031,False,
