KEY,Name,Entry,Year,Title_Guess,abstract,Source,MatchScore,DOI,URL,Year_Found,Venue,Status,QueryUsed,CandidateTitle,CandidateDOI,WhyNoAbstract,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
17f77b3885f29777c36f48b24da23c74d87322da,Adam Rosenzweig,"Rosenzweig, A. (2017). Understanding and Undermining Fake News From the Classroom. Berkeley Review of Education, 7(1). http://dx.doi.org/10.5070/B87136743 Retrieved from https://escholarship.org/uc/item/7rk9w7tm",2017,Understanding and Undermining Fake News From the Classroom,"Author(s): Rosenzweig, Adam | Abstract: Essay by Adam Rosenzweig as part of Call for Conversations: Education in the Era of Trump.",Semantic Scholar,97.999898,10.5070/B87136743,https://www.semanticscholar.org/paper/7a15effa078f5ba1e8b121a1992047309173dfa2,2017,,ok,CR-biblio:Rosenzweig 2017 Understanding and Undermining Fake News From the Classroom,Understanding and Undermining Fake News From the Classroom,10.5070/b87110055,,Goal 4,0.090761411,TRUE,affordable education
9c3df187471a8a0f5f648fc593ca4a4c7c9da342,Ahmed Badruzzaman,"Badruzzaman, A. (2018). Bangladesh Energy/Climate Nexus Part I: Quest for Energy Fix and Trailblazing Rural/Household Energy Sector, Journal of Bangladesh Studies , Vol. 20, No. 2, 2018",2018,"Bangladesh Energy/Climate Nexus Part I: Quest for Energy Fix and Trailblazing Rural/Household Energy Sector, Journal of Bangladesh Studies , Vol","Bangladesh, at cross-hairs of the world¡¯s twin mega challenges, growing energy demand and fossil fuel-driven climate change, faces a conundrum as she seeks access to modern energy systems to augment her extraordinary economic growth of the past decade. Advances in the rural/household sector, encompassing the majority of the population and typically reliant on traditional fuels, are based on a unique combination of off-grid solar home systems for lighting and improved cook stoves for cleaner cooking, and heating, with significant domestic technology, innovation, and entrepreneurial contents. For the urban/industrial/commercial sector, currently based primarily on the country¡¯s dwindling gas reserve, energy planners have adopted the classical centralized generation and distribution system common in the West, with two seemingly contradictory approaches, reliance on imported coal and liquefied natural gas proffered for a rapid economic expansion, and utility-scale, ¡®clean¡¯ electricity generation with a smattering of nuclear plants and solar farms in order to meet the country¡¯s commitment to the Paris climate treaty. Both approaches rely on external technology, expertise, and concepts. The paper gives a historic perspective on the country¡¯s often painful and environmentally damaging efforts to augment her meagre access to modern energy resources mainly for the urban/industrial/commercial energy sector, provides an overview of energy growth plans for this sector, and describes the remarkable progress in the hitherto neglected rural/household sector. The paper then notes, how the lessons from the historical perspective and the experience in the rural/household energy sector taken together, can inform development of a unique homegrown approach for the urban/industrial/commercial energy sector to fit the country¡¯s economic aspirations, terrain and, societal needs, instead of the current approach being pursued.",Crossref,99.9908977,10.1163/27715086-02002007,https://doi.org/10.1163/27715086-02002007,2018,Journal of Bangladesh Studies,ok,CR-biblio:Badruzzaman 2018 Bangladesh Energy/Climate Nexus Part I: Quest for Energy Fix and Trailblazing Rural/Household Energy Se,Bangladesh Energy/Climate Nexus Part I Quest for Energy Fix and a Trailblazing Rural/Household Energy Sector,10.1163/27715086-02002007,,Goal 7,0.270843024,TRUE,affordable energy; clean energy adoption; clean energy infrastructure; clean energy investment; energy access in developing countries; energy demand; energy for agriculture; energy for business; energy infrastructure; energy infrastructure development; energy innovation; energy policy; energy poverty; energy research; energy sector investment; energy sector reform; international energy cooperation; least developed countries energy; modern energy access; modern energy services; renewable energy; sustainable energy; sustainable energy systems
78fd508129d6d4e686ab1151abdab965910793ab,Ambar La Forgia,"La Forgia, A., Bodner, J. (2024). Getting Down to Business: Chain Ownership and Fertility Clinic Performance . Management Science.",2024,Getting Down to Business: Chain Ownership and Fertility Clinic Performance,"Acquisitions by corporate entities have fueled the growth of chain organizations in healthcare. A chain is a multiunit firm under the same ownership and management providing similar services in different locations. Chain ownership has been credited with boosting firm performance in the retail and service sectors but has been criticized for prioritizing profits over the well-being of patients in the healthcare sector. This paper finds that chain ownership improves healthcare outcomes in the market for in vitro fertilization (IVF). Using novel data on U.S. fertility clinics and difference-in-differences methods, we find that IVF cycles increase by 27.2%, and IVF success rates increase by 13.6% after acquisition by a fertility chain. We provide evidence that fertility chains facilitate resource and knowledge transfers needed to enhance quality and expand the IVF market. For example, acquired clinics change IVF processes and procedures to achieve the IVF gold standard of simultaneously reducing higher-risk multiple births and increasing singleton births. We discuss how the fertility sector¡¯s relatively minimal market frictions and information asymmetries may incentivize chain owners to invest in quality. This paper was accepted by Stefan Scholtes, healthcare management. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2023.02793 .",Crossref,100,10.1287/mnsc.2023.02793,https://doi.org/10.1287/mnsc.2023.02793,2025,Management Science,ok,"CR-biblio:La Forgia, A., Bodner, J. (2024). Getting Down to Business: Chain Ownership and Fertility Clinic Performance . Managemen",Getting Down to Business: Chain Ownership and Fertility Clinic Performance,10.1287/mnsc.2023.02793,,Goal 9,0.022449134,FALSE,
f50a40197befcf712211bf4a541cfa5abffd42ac,Ambar La Forgia,"Gupta, A., La Forgia, A., Sacarny, A. (2024). Turbocharging Profits? Contract Gaming and Revenue Allocation in Healthcare. National Bureau of Economic Research",2024,Turbocharging Profits? Contract Gaming and Revenue Allocation in Healthcare,"Firms often exploit loopholes in government contracts to boost revenues. The welfare consequences of this behavior depend on how firms use the marginal windfall dollar, yet little evidence exists to guide policymakers. This paper studies how hospitals allocated over $3 billion obtained from gaming a Medicare payment loophole. The average gaming hospital increased both Medicare and total revenue by around 10%, implying large spillovers on other payers. Consistent with theories of organizational behavior, nonprofit hospitals deployed most of the windfall toward operating costs, while for-profits deducted the entire amount off their balance sheet, distributing a substantial portion to executives and shareholders. Accordingly, we detect modest reductions in mortality rates at nonprofits but no changes at for-profits. Our results imply that the consequences of such engineered windfalls vary substantially by hospital ownership",Semantic Scholar (by DOI),100,10.3386/w32564,https://www.semanticscholar.org/paper/590f65edac7cc791dab0a2272912218a78200af0,2024,,ok,"CR-biblio:Gupta, A., La Forgia, A., Sacarny, A. (2024). Turbocharging Profits? Contract Gaming and Revenue Allocation in Healthcar",Turbocharging Profits? Contract Gaming and Revenue Allocation in Healthcare,10.3386/w32564,,Goal 3,0.014279812,FALSE,
16a3205c5cf3a336b391b34cc27f640b86347f68,Ambar La Forgia,"La Forgia, A. (2022). The Impact of Management on Clinical Performance: Evidence from Physician Practice Management Companies. Management Science.",2022,The Impact of Management on Clinical Performance: Evidence from Physician Practice Management Companies,"Mergers and acquisitions in healthcare are increasingly leading to changes in firm management. This paper studies how a change in firm management impacts clinical performance using data on an understudied phenomenon: medical practice acquisitions by physician practice management companies (PPMCs). PPMCs market themselves as offloading the administrative burden of running a medical practice without compromising physician autonomy over clinical decisions. However, a PPMC¡¯s management strategy and practices, such as performance monitoring and financial incentives, could influence physician behavior. For example, some PPMCs advertise increasing revenue through better financial management, whereas others also advertise improving quality through better clinical management. In this paper, I collect data on three large PPMCs that manage the practices of more than 40% of obstetricians and gynecologists (Ob-Gyns) in Florida between 2006 and 2014. An Ob-Gyn¡¯s main clinical decision in childbirth involves a tradeoff between financial and clinical outcomes: cesarean sections (C-sections) are often more highly reimbursed than vaginal births but pose risks to maternal and infant health when not medically necessary. Using difference-in-differences methods, I find heterogeneous effects on C-sections depending on a PPMC¡¯s publicized management strategy. Physicians acquired by PPMCs that focus on financial management increase the use of C-sections, resulting in less clinically appropriate care and worse patient outcomes. The opposite result is found when PPMCs focus on clinical management. I provide qualitative and quantitative evidence that differences in firm management are the most likely driver of changes in C-sections. This paper informs how the corporatization of medicine can alter clinical performance outcomes. This paper was accepted by Stefan Scholtes, healthcare management. Funding: This project was supported by grants from the Agency for Healthcare Research (AHRQ), the National Science Foundation (NSF), and Wharton¡¯s Mack Institute for Innovation [Mack Institute Research Fellowship]. The analysis was conducted using data from the State of Florida¡¯s Agency for Healthcare Administration (AHCA). The content is solely the responsibility of the author and does not necessarily represent the official views of AHRQ, NSF, Mack Institute, or AHCA. Supplemental Material: The data files and online appendix are available at https://doi.org/10.1287/mnsc.2022.4571 .",Crossref,100,10.1287/mnsc.2022.4571,https://doi.org/10.1287/mnsc.2022.4571,2023,Management Science,ok,"CR-biblio:La Forgia, A. (2022). The Impact of Management on Clinical Performance: Evidence from Physician Practice Management Comp",The Impact of Management on Clinical Performance: Evidence from Physician Practice Management Companies,10.1287/mnsc.2022.4571,,Goal 3,0.02848937,FALSE,
43899c013b95639bbbd6c1fdaa40674d2034dffe,Ambar La Forgia,"La Forgia, A., Bond, A., Braun, R. T., Yao, L. Kjaer, K., Zhang, M., & Casalino, L. (2022). Association of Physician Management Companies and Private Equity Investment With Commercial Health Care Prices Paid to Anesthesia Practitioners . JAMA Internal Medicine .",2022,Association of Physician Management Companies and Private Equity Investment With Commercial Health Care Prices Paid to Anesthesia Practitioners,"Importance
Physician management companies (PMCs), often backed by private equity (PE), are increasingly providing staffing and management services to health care facilities, yet little is known of their influence on prices.


Objective
To study changes in prices paid to practitioners (anesthesiologists and certified registered nurse anesthetists) before and after an outpatient facility contracted with a PMC.


Design, Setting, and Participants
This retrospective cohort study used difference-in-differences methods to compare price changes before and after a facility contracted with a PMC with facilities that did not and to compare differences between PMCs with and without PE investment. Commercial claims data (2012-2017) from 3 large national insurers in the Health Care Cost Institute database were combined with a novel data set of PMC facility contracts to identify prices paid to anesthesia practitioners in hospital outpatient departments and ambulatory surgery centers. The cohort included 2992 facilities that never contracted with a PMC and 672 facilities that contracted with a PMC between 2012 and 2017, collectively representing 2?255?933 anesthesia claims.


Exposures
Temporal variation in facility-level exposure to PMC contracts for anesthesia services.


Main Outcomes and Measures
Main outcomes were (1) allowed amounts and the unit price (allowed amounts standardized per unit of service) paid to anesthesia practitioners; and (2) the probability that a practitioner was out of network.


Results
From before to after the PMC contract period, allowed amounts increased by 16.5% (+$116.39; 95% CI, $76.11 to $156.67; P?<?.001), and the unit price increased by 18.7% (+$18.79; 95% CI, $12.73 to $24.84; P?<?.001) in PMC facilities relative to non-PMC facilities. Results did not show evidence that anesthesia practitioners were moved out of network (+2.25; 95% CI, -2.56 to 7.06; P?<?.36). In subsample analyses, PMCs without PE investment increased allowed amounts by 12.9% (+$89.88; 95% CI, $42.07 to $137.69; P?<?.001), while PE-backed PMCs (representing half of the PMCs in the sample) increased allowed amounts by 26.0% ($187.06; 95% CI, $133.59 to $240.52; P?<?.001). Similar price increases were observed for unit prices.


Conclusions and Relevance
In this cohort study, prices paid to anesthesia practitioners increased after hospital outpatient departments and ambulatory surgery centers contracted with a PMC and were substantially higher if the PMC received PE investment. This research provides insights into the role of corporate ownership in health care relevant to policy makers, payers, practitioners, and patients.",Semantic Scholar (by DOI),100,10.1001/jamainternmed.2022.0004,https://www.semanticscholar.org/paper/0b94178dbcf649d7cdbaf82b295d607677034f30,2022,JAMA Internal Medicine,ok,CR-biblio:La Forgia 2022 Association of Physician Management Companies and Private Equity Investment With Commercial Health Care P,Association of Physician Management Companies and Private Equity Investment With Commercial Health Care Prices Paid to Anesthesia Practitioners,10.1001/jamainternmed.2022.0004,,Goal 3,0.040706871,FALSE,
61b0dd893c0507798e9930ee6093d48e0ca6d15e,Ambar La Forgia,"La Forgia, A., Bond, A., Braun, R. T., Kjaer, K., Zhang, M., & Casalino, L. (2021). Association of Surprise Billing Legislation with Prices Paid to In-Network and Out-of-Network Anesthesiologists in California, Florida, and New York . JAMA Internal Medicine .",2021,"Association of Surprise Billing Legislation with Prices Paid to In-Network and Out-of-Network Anesthesiologists in California, Florida, and New York","Importance
Several states have passed surprise-billing legislation to protect patients from unanticipated out-of-network medical bills, yet little is known about how state laws influence out-of-network prices and whether spillovers exist to in-network prices.


Objective
To identify any changes in prices paid to out-of-network anesthesiologists at in-network facilities and to in-network anesthesiologists before and after states passed surprise-billing legislation.


Design, Setting, and Participants
This retrospective economic analysis used difference-in-differences methods to compare price changes before and after the passage of legislation in California, Florida, and New York, which passed comprehensive surprise-billing legislation between January 1, 2014, and December 31, 2017, to 45 states that did not. Commercial claims data from the Health Care Cost Institute were used to identify prices paid to anesthesiologists in hospital outpatient departments and ambulatory surgery centers. The final analytic sample comprised 2?713?913 anesthesia claims across the 3 treated states and the 45 control states.


Exposures
Temporal and state-level variation in exposure to surprise-billing legislation.


Main Outcomes and Measures
The unit price (allowed amounts standardized per unit of service) paid to out-of-network anesthesiologists at in-network facilities and to in-network anesthesiologists.


Results
This retrospective economic analysis of 2 713 913 anesthesia claims found that after surprise-billing laws were passed in 3 states, the unit price paid to out-of-network anesthesiologists at in-network facilities decreased significantly in 2 of them: California, -$12.71 (95% CI, -$25.70 to -$0.27; P?=?.05) and Florida, -$35.67 (95% CI, -$46.27 to -$25.07; P?<?.001). In New York, a decline in the overall out-of-network price was not statistically significant (-$7.91; 95% CI, -$17.48 to -$1.68; P?=?.10); however, by the fourth quarter of 2017, the decline was -$41.28 (95% CI, -$70.24 to -$12.33; P?=?.01). In-network prices decreased in California by -$10.68 (95% CI, -$12.70 to -$8.66; P?<?.001); in Florida, -$3.18 (95% CI, -$5.17 to -$1.19; P?=?.002); and in New York, -$8.05 (95% CI, -$11.46 to -$4.64; P?<?.001).


Conclusions and Relevance
This retrospective study found that prices paid to in-network and out-of-network anesthesiologists in hospital outpatient departments and ambulatory surgery centers decreased after the introduction of surprise-billing legislation, providing early insights into how prices may change under the federal No Surprises Act and in states that have recently passed their own legislation.",Semantic Scholar (by DOI),100,10.1001/jamainternmed.2021.4564,https://www.semanticscholar.org/paper/b73fa4a595ad4ca28757897e0787bb8d7eed070b,2021,JAMA Internal Medicine,ok,CR-biblio:La Forgia 2021 Association of Surprise Billing Legislation with Prices Paid to In-Network and Out-of-Network Anesthesiol,"Association of Surprise-Billing Legislation with Prices Paid to In-Network and Out-of-Network Anesthesiologists in California, Florida, and New York",10.1001/jamainternmed.2021.4564,,Goal 9,0.01732323,FALSE,
3184c5aa44361f0c1bf539b252d2e2df2b7476c2,Anastassia Fedyk,"Finalist, 2019 Hillcrest Behavioral Finance Award",2019,"Finalist, 2019 Hillcrest Behavioral Finance Award","Type: Work in Progress. Background: Urinary tract infection (UTI) is often considered a common cause of mental status changes, particularly in elderly patients and patients with a primary psychiatric condition. Additionally, the presence of genitourinary symptoms is essential to confirm diagnosis and determine the appropriate treatment course. Patients with a communication barrier may be unable to clearly convey the presence or absence of genitourinary symptoms, complicating an accurate diagnosis when mental status changes occur. Little evidence exists on diagnosing UTIs in patients who cannot communicate genitourinary symptoms; however, some guidance in long-term care facilities suggests assessing specific symptoms that do not rely on patient report. Objectives: The primary objective of this project is to provide assistance in the diagnosis and treatment of UTIs in patients who cannot communicate genitourinary symptoms through the creation of an algorithm. Secondary objectives include reducing inappropriate antibiotic use and increasing symptom documentation in this patient population. Methods: A UTI treatment algorithm for noncommunicative patients was developed using existing literature and through extensive collaboration with physicians, PhDs, and pharmacists working in the fields of emergency medicine, geriatric psychiatry, infectious diseases, microbiology, and urology. The final algorithm included comprehensive information on evaluating urinalysis (UA) results and identifying UTI symptoms, and offered guidance for antibiotic selection, dosing, and duration. Educational materials were created to enforce the most appropriate use of this algorithm, and provider education is ongoing. To limit the initial scope and allow for preintervention and postintervention data analysis, the algorithm will be utilized within the psychiatric emergency department. Adults admitted to the psychiatry service with a UA ordered and collected in the emergency department as well as an ICD-10 code representing dementia, delirium, autism spectrum disorder, or developmental delay will be included. Pregnant patients will be excluded. Outcomes: The preintervention cohort includes 56 admissions. Patients are predominantly female, with an average age of 60 years. Provider education will be completed in January, with postintervention data collection and analysis completed in February. This timeline allows for reporting on the impact of the intervention by comparing changes in UA ordering, antibiotic prescribing, and symptom documentation between preintervention and postintervention cohorts. BDNF Val66Met Polymorphisms, Antidepressant Use, and Cognitive Performance: A Moderation Analysis in Patients With Psychotic Disorders Lusi Zhang, BSc, MHI; S. Kristian Hill, PhD; Leah H. Rubin, PhD; James L. Reilly, PhD; Elena I. Ivleva, MD, PhD; Sarah K. Keedy, PhD; Ney AllieyRodriguez, MD; Adam M. Lee, PhD; Seenae Eum, PharmD, MS; Carol A. Tamminga, MD; Godfrey D. Pearlson, MD; Brett A. Clementz, PhD; Elliot S. Gershon; Matcheri S. Keshavan, MD; Richard S.E. Keefe, PhD; John A. Sweeney, PhD; Jeffrey R. Bishop, PharmD, MS, BCPP 1 Department of Experimental and Clinical Pharmacology, College of Pharmacy, University of Minnesota; 2 Department of Psychology, Rosalind Franklin University of Medicine and Science; 3 Department of Neurology, Johns Hopkins University; 4 Department of Psychiatry and Behavioral Sciences, Northwestern University Feinberg School of Medicine; 5 Department of Psychiatry, University of Texas Southwestern Medical Center; 6 Department of Psychiatry and Behavioral Neuroscience, University of Chicago; 7 Departments of Psychiatry and Neurobiology, Yale University School of Medicine; 8 Department of Psychology and Neuroscience, University of Georgia; 9 Harvard Medical School, Beth Israel Deaconess Medical Center and Massachusetts Mental Health Center; 10 Departments of Psychiatry and Behavioral Sciences, Duke University Medical Center; 11 Department of Psychiatry and Behavioral Neuroscience, University of Cincinnati Abstract Type: Original Research. Background: Brain-Type: Original Research. Background: Brainderived neurotrophic factor (BDNF) is a neuropeptide essential for neuronal development and plasticity. It is suggested to be a mediator of antidepressant efficacy in depression, and more broadly has been associated with cognitive performance. Antidepressants may be used to Q 2019 CPNP. The Mental Health Clinician is a publication of the College of Psychiatric and Neurologic Pharmacists. This is an open access article distributed under the terms of the Creative Commons Attribution-NonCommercial 3.0 License, which permits non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. treat depressive symptoms in psychotic disorders, however, with unclear benefits for cognitive symptoms. The BDNF Val66Met (rs6265) polymorphism may affect the expression and stability of BDNF, but its relationship with cognitive performance in the context of antidepressant medications in psychosis has not been examined. Objective: This study investigated the moderation of BDNF Val66Met genotype on the relationship between antidepressant use and cognitive performance in clinically stable patients with psychotic disorders. Methods: Participants (total N1?4640) with schizophrenia spectrum (n1?4428) and psychotic bipolar disorder (n1?4212) from the Bipolar-Schizophrenia Network on Intermediate Phenotypes (B-SNIP) study were examined. Regression-based moderation analyses were conducted to investigate interactions between Val66Met genotype and antidepressant use in relation to cognitive performance assessed by the Brief Assessment of Cognition in Schizophrenia (BACS). Results: Val66Met genotypes (Val/Val1?4474, Val/Met1?4 150, Met/Met1?4 16) did not deviate from Hardy-Weinberg Equilibrium (P1?4.32). BACS scores did not significantly differ across genotype or antidepressant status groups before accounting for interactions with Val66Met genotype. In patients with schizophrenia spectrum disorders, Val66Met genotype significantly moderated the relationship between antidepressant use and composite BACS scores (F(1,422)1?48.426, P1?4.004), whereby there was no association between antidepressant use and composite BACS scores in Val/Val genotype groups while among Met allele carriers, a lower composite BACS score was associated with antidepressant use. Among BACS subtests, Verbal Memory and Digit Sequencing were most associated with antidepressants moderated by Val66Met genotype. Examining the influence of depression (MADRS) or psychosis (PANSS) symptoms did not change these findings. This relationship was not detected in psychotic bipolar disorder. Conclusions: The Val66Met polymorphism known to influence BDNF gene expression and stability may moderate the impact of antidepressant use on cognitive performance in patients with schizophrenia spectrum disorders. These findings indicate that genetic factors related to neuroplasticity may be important determinants of drug action, and they explain interpatient differences that have been previously observed in antidepressant effects on cognitive performance. Innovative Practices Award Finalists Interdisciplinary Implementation of Mental Health Screenings and Treatment in a Human Immunodeficiency Virus (HIV) Clinic at a Federal Health Care Center Eileen Mintz, PharmD; Roberta Dume, PharmD; Robin Hieber, PharmD, BCPP; Suzanne Molino, PharmD, BCPS 1 Captain James A. Lovell Federal Health Care Center; 2 College of Pharmacy, Rosalind Franklin University of Medicine and Science Abstract Type: Innovative Practices. Background: Prevalence rates for mental health disorders are high among patients with HIV, with around 35% of patients and 49% of veterans having comorbid depression. Nonadherence is the primary reason for treatment failure among those infected with HIV, and depression is a barrier to adherence of antiretroviral therapy (ART). Additionally, depression has been linked to poor attendance to HIV clinic appointments, accelerated clinical progression of HIV, and higher mortality rates. Therefore, identifying and treating patients with coexisting mental health conditions, especially depression, can help to improve adherence and prevent treatment failure. Description of Innovative Service: The service takes place in an HIV clinic at a federal health care center starting October 2018. It involves the clinical pharmacy specialist or pharmacy resident providing depression screenings using the patient health questionnaire (PHQ-9) on one day of clinic. Those screened positive are further evaluated, and based on the individualized scores and other clinical factors are either referred to mental health services or receive medication initiation, titration, or adjustment in conjunction with psychiatry residents. Impact on Patient Care: Since October 2018, about 20 patients have been screened and provided with resources for mental health care if needed. Of those screened, 1 patient screened positive and was referred to a psychologist. Some screened were already well controlled on antidepressants or currently receiving mental health care. Conclusion: Mental health disorders are high among patients with HIV, with around 35% of patients and 49% of veterans having comorbid depression. The implementation of depression screening services is connecting those in need to mental health services to better optimize patient care and improve medication adherence. With this implementation, there are plans to further initiate other mental health services, such as anxiety and substance use screenings.Type: Innovative Practices. Background: Prevalence rates for mental health disorders are high among patients with HIV, with around 35% of patients and 49% of veterans having comorbid depression. Nonadherence is the primary reason for treatment failure among those infected with HIV, and depression is a barri",Semantic Scholar,90,10.9740/mhc.2019.05.141,https://www.semanticscholar.org/paper/e7f30077f4df945c4c080dfe633ae351eb0e6b96,2019,Mental Health Clinician,ok,"CR-biblio:Finalist, 2019 Hillcrest Behavioral Finance Award",,10.9740/mhc.2019.05.141,,Goal 3,0.13825187,TRUE,HIV treatment; mental health
eb248678b59f2e6d863558eab30e9dcdf88a9183,Anastassia Fedyk,"Artificial intelligence, firm growth, and industry concentration. (with Tania Babina , Alex He , and James Hodson ) January 2023. Journal of Financial Economics , accepted.",2023,"Artificial intelligence, firm growth, and industry concentration","Which firms invest in artificial intelligence (AI) technologies, and how do these investments affect individual firms and industries? We provide a comprehensive picture of the use of AI technologies and their impact among US firms over the last decade, using a unique combination of job postings and individual-level employment profiles. We introduce a novel measure of investments in AI technologies based on human capital and document that larger firms with higher sales, markups, and cash holdings tend to invest more in AI. Firms that invest in AI experience faster growth in both sales and employment, which translates into analogous growth at the industry level. The positive effects are concentrated among the ex ante largest firms, leading to a positive correlation between AI investments and an increase in industry concentration. However, the increase in concentration is not accompanied by either increased markups or increased productivity. Instead, firms tend to expand into new product and geographic markets. Our results are robust to instrumenting firm-level AI investments with foreign industry-level AI investments and with local variation in industry-level AI investments, and to controlling for investments in general information technology and robotics. We also document consistent patterns across measures of AI using firms' demand for AI talent (job postings) and actual AI talent (resumes). Overall, our findings support the view that new technologies, such as AI, increase the scale of the most productive firms and contribute to the rise of superstar firms.",Semantic Scholar (by DOI),99.1879,10.2139/ssrn.3651052,https://www.semanticscholar.org/paper/c0c289055deece13bb4c68ad9748ee676c50857c,2020,Social Science Research Network,ok,"CR-biblio:Artificial intelligence, firm growth, and industry concentration. (with Tania Babina , Alex He , and James Hodson ) Janu","Artificial Intelligence, Firm Growth, and Industry Concentration",10.2139/ssrn.3651052,,Goal 9,0.040078792,FALSE,industrial innovation
5c9069a133a96e4464b68e262f9d600663fc1f89,Anastassia Fedyk,"Trading on talent: Human capital and firm performance. (with James Hodson ) September 2022. Review of Finance , forthcoming. Best Paper on Long-Term Investments, 2018 Northern Finance Association Winner, 2017 Jack Treynor Prize from the Institute for Quantitative Research in Finance Second Place, 2017 PanAgora Asset Management Dr. Richard A. Crowell Memorial Prize",2022,Trading on talent: Human capital and firm performance,"How is technically-skilled human capital reflected in firm performance? We leverage a uniquely detailed employer-employee matched dataset to measure U.S. firms¡¯ technical human capital in IT, Software Engineering, Mobile Networks, Data Analysis, and Web Development. All five technical skillsets are associated with higher firm valuations. However, they negatively forecast both financial and operational performance in the future. For example, a one-standard-deviation increase in employees with IT skills corresponds to 2.2% higher Tobin¡¯s q but predictable future returns of ¨C10 basis points per month. Our results are stronger in tighter labor markets, in firms with more cash, and during time periods when each technical skillset is especially popular. These patterns suggest that the market expects too much from popular technologies, leading to overvaluation. Overall, our results highlight how corporate over-investment can extend to intangible capital such as skilled employees.",Semantic Scholar (by DOI),99.99989019,10.2139/ssrn.3017559,https://www.semanticscholar.org/paper/e37fb28dbcd8bf700a6838e737d9f01b1160e471,2019,Review of Finance,ok,CR-biblio:  Trading on talent: Human capital and firm performance,Trading on Talent: Human Capital and Firm Performance,10.2139/ssrn.3017559,,Goal 17,0.021532126,FALSE,
