KEY,Name,Entry,Year,Title_Guess,Abstract,Source,MatchScore,DOI,URL,Year_Found,Venue,Status,QueryUsed,CandidateTitle,CandidateDOI,WhyNoAbstract,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
edb451e4cfdd9643e3a72349bfaba62bade0e002,Sanford E. DeVoe,"DeVoe, S. E., & Pai, J. (2021).?When does being paid an hourly wage make it difficult to be a happy volunteer???Journal of Applied Social Psychology, 51, 763-768.",2021,"DeVoe, S","Abstract Objective A growing body of evidence suggests that individuals with eating disorders (EDs) have experienced deteriorating symptoms, increased isolation, and an increase in hospital admissions as a result of the COVID©\19 pandemic. Despite this, no systematic reviews have been conducted examining the COVID©\19 and ED peer©\reviewed literature. Therefore, this systematic review aimed to synthesize the impact of the COVID©\19 pandemic on individuals with EDs. Method Database searches of the peer©\reviewed literature were completed in the subsequent databases: CINAHL, Embase, MEDLINE, and PsycINFO (from November 2019 to October 20, 2021). All research reporting on the relationship between the COVID©\19 pandemic on individuals with EDs were included. Results Fifty©\three studies met the inclusion criteria, including 36,485 individuals with EDs. The pooled hospital admissions across the studies demonstrated on average a 48% (pre = 591, post = 876, n =?10 studies) increase in admissions during the pandemic compared to previous pre©\pandemic timepoints. In this review, 36% of studies (n =?19) documented increases in eating disorder symptoms during the pandemic, this increase in eating disorder symptoms were documented in AN, BED, BN, and OFSED patients. Studies also demonstrated increases in anxiety (n =?9) and depression (n =?8), however patterns of change appeared to be diagnostic and timing specific (e.g., lockdowns). Discussion We found a large increase in the number of hospitalizations and an increase in ED symptoms, anxiety, depression, and changes to BMI in ED patients during the pandemic. However, these changes appeared to be diagnostic and timing specific. Many qualitative studies described deterioration in ED symptomatology due to decreased access to care and treatment, changes to routine and loss of structure, negative influence of the media, and social isolation. Future studies are needed to focus on pediatric populations, new ED diagnoses, and severity of illness at presentation. Public Significance The scientific literature suggests that individuals with eating disorders have experienced deteriorating symptoms, increased isolation, and an increase in hospital admissions as a result of the COVID©\19 pandemic. This study synthesized 53 articles and explored the impact of the COVID©\19 pandemic on patients with eating disorders. We found increases in eating disorder symptoms during the pandemic; this increase in eating disorder symptoms was documented in patients with common eating disorders including anorexia nervosa, binge©\eating disorder, bulimia nervosa, and other specified feeding and eating disorders. This review also demonstrated changes in body mass index (an index used to classify underweight, overweight, and obesity in adults) and increases in anxiety and depression during the pandemic compared to previous timepoints; patterns of change appeared to be related to timing of lockdowns. This review provides important information on the impact of COVID©\19 on the physical and mental health of individuals with eating disorders.",Semantic Scholar,11.9047619,10.1002/eat.23704,https://www.semanticscholar.org/paper/a348766886dd97df947bcd6082866ed2340497af,2022,International Journal of Eating Disorders,ok,"CR-biblio:DeVoe, S. E., & Pai, J. (2021).?When does being paid an hourly wage make it difficult to be a happy volunteer???Journal ",,10.1002/eat.23704,,Goal 3,0.029503587,FALSE,COVID-19 impact
404cae83529797fb14ed4b43ffe0a670761df016,Sanford E. DeVoe,"West, C., Mogilner, C., & DeVoe, S. E. (2021).?Happiness from treating your weekend like a vacation.?Social Personality Psychological Science, 12, 346-356.",2021,Happiness from treating your weekend like a vacation,"Americans are time-poor. They work long hours and leave paid vacation days unused. An analysis of over 200,000 U.S. workers reveals that not prioritizing vacation is linked to lower happiness. Many people, however, do not feel they can take vacation due to financial and temporal constraints. How might people enjoy the emotional benefits of vacation without taking additional time off or spending additional money? Three preregistered experiments tested the effect of simply treating the weekend ¡°like a vacation¡± (vs. ¡°like a regular weekend¡±) on subsequent happiness¡ªmeasured as more positive affect, less negative affect, and greater satisfaction when back at work on Monday. Although unable to definitively rule out the role of demand characteristics, the study results suggest that treating the weekend like a vacation can increase happiness, and exploratory analyses show support for the underlying role of increased attention to the present moment.",Crossref,83.49514563,10.1177/1948550620916080,https://doi.org/10.1177/1948550620916080,2020,Social Psychological and Personality Science,ok,"CR-biblio:West, C., Mogilner, C., & DeVoe, S. E. (2021).?Happiness from treating your weekend like a vacation.?Social Personality ",Happiness From Treating the Weekend Like a Vacation,10.1177/1948550620916080,,Goal 1,0.015657899,FALSE,
afdaa9f8ab9c4048c1844beee62e5ed19c546305,Sanford E. DeVoe,"DeCelles, K., DeVoe, S. E., Agasi, S., Rafaeli, A. (2019).?Helping to reduce fights before flights: How environmental stressors in organizations shape customer emotions and customer-employee interactions.?Personnel Psychology,?72, 49-80.",2019,Helping to reduce fights before flights: How environmental stressors in organizations shape customer emotions and customer-employee interactions,"Abstract Previous examinations of environmental stressors in organizations have mostly emphasized their dysfunctional effects on individuals¡¯ emotions and behaviors. Extending this work by drawing from the social functional perspective on emotion, we propose that customers¡¯ negative emotional responses to environmental stressors in organizations can exert both dysfunctional and functional effects on customer¨Cemployee interactions. Specifically, we theorize that situational and physiological forms of environmental stressors can be dysfunctional by incurring customer anger, precipitating customer aggression, and diminishing employee helpfulness. We further theorize that situational relative to physiological stressors can exert functional effects in inducing customer fear that elicits empathy and helpfulness from employees. We test our model via an archival, observational, and critical incident yoked experimental study set in the airport context. This research contributes to stress theory and its organizational application by integrating theory from the social functional approach to emotion with appraisal©\based theories of stress in organizations.",Crossref,99.30555556,10.1111/peps.12292,https://doi.org/10.1111/peps.12292,2018,Personnel Psychology,ok,CR-biblio:DeCelles 2019 Helping to reduce fights before flights: How environmental stressors in organizations shape customer emoti,Helping to reduce fights before flights: How environmental stressors in organizations shape customer emotions and customer¨Cemployee interactions,10.1111/peps.12292,,Goal 12,0.022323244,FALSE,
87e7bb0b15fe20021e8d38f00037e395e3d8d523,Henry Friedman,"Andrei, D., H. Friedman, and N.B. Ozel, 2023, ¡°Economic Uncertainty and Investor Attention.¡± Journal of Financial Economics 149(2): 179-217. ",2023,"Andrei, D","In an attempt to create an algebraic framework for dual canonical bases and total positivity in semisimple groups, we initiate the study of a new class of commutative algebras.",Semantic Scholar,20,10.1090/S0894-0347-01-00385-X,https://www.semanticscholar.org/paper/6feb8e4825f4374a32b56b5bfd3467eef46d8a6a,2001,,ok,"CR-biblio:Andrei, D., H. Friedman, and N.B. Ozel, 2023, ¡°Economic Uncertainty and Investor Attention.¡± Journal of Financial Econom",,10.1090/S0894-0347-01-00385-X,,Goal 1,0.007515049,FALSE,
87ef3de3487af04e93a436c961bfb5e9ff246b3d,Henry Friedman,"Friedman, H., J. Hughes, and B. Michaeli, 2022, ¡°A rationale for imperfect reporting standards,¡± Management Science 68(3): 2028-2046.",2022,"Friedman, H","We prove that, given a constant $K> 2$ and a bounded linear operator $T$ from a JB$^*$-triple $E$ into a complex Hilbert space $H$, there exists a norm-one functional $\psi\in E^*$ satisfying $$\|T(x)\| \leq K \, \|T\| \, \|x\|_{\psi},$$ for all $x\in E$. Applying this result we show that, given $G > 8 (1+2\sqrt{3})$ and a bounded bilinear form $V$ on the Cartesian product of two JB$^*$-triples $E$ and $B$, there exist norm-one functionals $\varphi\in E^{*}$ and $\psi\in B^{*}$ satisfying $$|V(x,y)| \leq G \ \|V\| \, \|x\|_{\varphi} \, \|y\|_{\psi}$$ for all $(x,y)\in E \times B$. These results prove a conjecture pursued during almost twenty years.",Semantic Scholar,18.36734694,10.1090/tran/8227,https://www.semanticscholar.org/paper/d1b6367bf4e1296704f458eef4eb77b5bbd54de0,2019,,ok,"CR-biblio:Friedman, H., J. Hughes, and B. Michaeli, 2022, ¡°A rationale for imperfect reporting standards,¡± Management Science 68(3",,10.1090/tran/8227,,Goal 12,0.001596162,FALSE,
13993620b6fa1735f112252c2280268b9cf7ff3a,Henry Friedman,"Ma, L., T. Ma, and H. Friedman, 2021, ¡°Financial reporting and noise in stock returns: Evidence from Chinese A-B twin shares,¡± Journal of Financial Reporting 6(1): 137-162. ",2021,"Ma, and H","In this report, we introduce the Gemini 2.X model family: Gemini 2.5 Pro and Gemini 2.5 Flash, as well as our earlier Gemini 2.0 Flash and Flash-Lite models. Gemini 2.5 Pro is our most capable model yet, achieving SoTA performance on frontier coding and reasoning benchmarks. In addition to its incredible coding and reasoning skills, Gemini 2.5 Pro is a thinking model that excels at multimodal understanding and it is now able to process up to 3 hours of video content. Its unique combination of long context, multimodal and reasoning capabilities can be combined to unlock new agentic workflows. Gemini 2.5 Flash provides excellent reasoning abilities at a fraction of the compute and latency requirements and Gemini 2.0 Flash and Flash-Lite provide high performance at low latency and cost. Taken together, the Gemini 2.X model generation spans the full Pareto frontier of model capability vs cost, allowing users to explore the boundaries of what is possible with complex agentic problem solving.",Semantic Scholar,50,,https://www.semanticscholar.org/paper/710ee946f14ff3218c91e5969207c5b459dc9783,2025,arXiv.org,ok,"CR-biblio:Ma, L., T. Ma, and H. Friedman, 2021, ¡°Financial reporting and noise in stock returns: Evidence from Chinese A-B twin sh",,,,Goal 1,0.016212044,FALSE,
1e00cae9a0d5687afdb401c1d8b0f14a9c9f496b,John S. Hughes,"Friedman, Henry L., John S. Hughes, Beatrice Michaeli, ""Optimal reporting when additional information may arrive,"" Management Science, Forthcoming.",,"Friedman, Henry L","Glioblastoma is the most common malignant primary brain tumor. Overall, the prognosis for patients with this disease is poor, with a median survival of <2 years. There is a slight predominance in males, and incidence increases with age. The standard approach to therapy in the newly diagnosed setting includes surgery followed by concurrent radiotherapy with temozolomide and further adjuvant temozolomide. Tumor-treating fields, delivering low-intensity alternating electric fields, can also be given concurrently with adjuvant temozolomide. At recurrence, there is no standard of care; however, surgery, radiotherapy, and systemic therapy with chemotherapy or bevacizumab are all potential options, depending on the patient's circumstances. Supportive and palliative care remain important considerations throughout the disease course in the multimodality approach to management. The recently revised classification of glioblastoma based on molecular profiling, notably isocitrate dehydrogenase (IDH) mutation status, is a result of enhanced understanding of the underlying pathogenesis of disease. There is a clear need for better therapeutic options, and there have been substantial efforts exploring immunotherapy and precision oncology approaches. In contrast to other solid tumors, however, biological factors, such as the blood-brain barrier and the unique tumor and immune microenvironment, represent significant challenges in the development of novel therapies. Innovative clinical trial designs with biomarker-enrichment strategies are needed to ultimately improve the outcome of patients with glioblastoma.",Semantic Scholar,22.22222222,10.3322/caac.21613,https://www.semanticscholar.org/paper/e8b2a10de867a47fe3ceb1c055502344c4c15e47,2020,Ca,ok,"CR-biblio:Friedman, Henry L., John S. Hughes, Beatrice Michaeli, ""Optimal reporting when additional information may arrive,"" Manag",,10.3322/caac.21613,,Goal 1,0.011877004,FALSE,
01324139be6de852a113ab7a8906d834156463d3,Mark Kim,"Kim, M. P., Pierce, S. R., & Yeung, I. (2021).?¡°Why Firms Announce Good News Late: Earnings Management and Financial Reporting Timeliness.""?Contemporary Accounting Research, 38(4), 2691-2722.",,", Pierce, S","BACKGROUND
CEP290-associated inherited retinal degeneration causes severe early-onset vision loss due to pathogenic variants in CEP290. EDIT-101 is a clustered regularly interspaced short palindromic repeats (CRISPR)-CRISPR-associated protein 9 (Cas9) gene-editing complex designed to treat inherited retinal degeneration caused by a specific damaging variant in intron 26 of CEP290 (IVS26 variant).


METHODS
We performed a phase 1-2, open-label, single-ascending-dose study in which persons 3 years of age or older with CEP290-associated inherited retinal degeneration caused by a homozygous or compound heterozygous IVS26 variant received a subretinal injection of EDIT-101 in the worse (study) eye. The primary outcome was safety, which included adverse events and dose-limiting toxic effects. Key secondary efficacy outcomes were the change from baseline in the best corrected visual acuity, the retinal sensitivity detected with the use of full-field stimulus testing (FST), the score on the Ora-Visual Navigation Challenge mobility test, and the vision-related quality-of-life score on the National Eye Institute Visual Function Questionnaire-25 (in adults) or the Children's Visual Function Questionnaire (in children).


RESULTS
EDIT-101 was injected in 12 adults 17 to 63 years of age (median, 37 years) at a low dose (in 2 participants), an intermediate dose (in 5), or a high dose (in 5) and in 2 children 9 and 14 years of age at the intermediate dose. At baseline, the median best corrected visual acuity in the study eye was 2.4 log10 of the minimum angle of resolution (range, 3.9 to 0.6). No serious adverse events related to the treatment or procedure and no dose-limiting toxic effects were recorded. Six participants had a meaningful improvement from baseline in cone-mediated vision as assessed with the use of FST, of whom 5 had improvement in at least one other key secondary outcome. Nine participants (64%) had a meaningful improvement from baseline in the best corrected visual acuity, the sensitivity to red light as measured with FST, or the score on the mobility test. Six participants had a meaningful improvement from baseline in the vision-related quality-of-life score.


CONCLUSIONS
The safety profile and improvements in photoreceptor function after EDIT-101 treatment in this small phase 1-2 study support further research of in vivo CRISPR-Cas9 gene editing to treat inherited retinal degenerations due to the IVS26 variant of CEP290 and other genetic causes. (Funded by Editas Medicine and others; BRILLIANCE ClinicalTrials.gov number, NCT03872479.).",Semantic Scholar,17.91044776,10.1056/NEJMoa2309915,https://www.semanticscholar.org/paper/844f7be7d3c1f1461bb187b2bdb917eda74f9641,2024,New England Journal of Medicine,ok,"CR-biblio:Kim 2021 , Pierce, S",,10.1056/NEJMoa2309915,,Goal 4,0.008950278,FALSE,
fec7734a6eaecc3b0dab91e4ced22e5411f4a5aa,Daniel J. Benjamin,"Meddens, S. Fleur W., Ronald de Vlaming, Peter Bowers, Casper A.P. Burik, Richard K. Linn¨¦r, Chanwook Lee, Aysu Okbay, Patrick Turley, ¡­, Daniel J. Benjamin, Carson C. Chow, Philipp D. Koellinger (2020). ¡°Genomic analysis of diet composition finds novel loci and associations with health and lifestyle.¡± Molecular Psychiatry. Published online May 11. doi.org/10.1038/s41380-020-0697-5.",2020,"Meddens, S","Educational attainment is strongly influenced by social and other environmental factors, but genetic factors are estimated to account for at least 20% of the variation across individuals. Here we report the results of a genome-wide association study (GWAS) for educational attainment that extends our earlier discovery sample of 101,069 individuals to 293,723 individuals, and a replication study in an independent sample of 111,349 individuals from the UK Biobank. We identify 74 genome-wide significant loci associated with the number of years of schooling completed. Single-nucleotide polymorphisms associated with educational attainment are disproportionately found in genomic regions regulating gene expression in the fetal brain. Candidate genes are preferentially expressed in neural tissue, especially during the prenatal period, and enriched for biological pathways involved in neural development. Our findings demonstrate that, even for a behavioural phenotype that is mostly environmentally determined, a well-powered GWAS identifies replicable associated genetic variants that suggest biologically relevant pathways. Because educational attainment is measured in large numbers of individuals, it will continue to be useful as a proxy phenotype in efforts to characterize the genetic influences of related phenotypes, including cognition and neuropsychiatric diseases.",Semantic Scholar,14.43298969,10.1038/nature17671,https://www.semanticscholar.org/paper/acac8b6183d26c8d0133a08544513fbd0a2f201b,2016,Nature,ok,"CR-biblio:Meddens 2020 Meddens, S",,10.1038/nature17671,,Goal 12,0.01417439,FALSE,
ddf7ea63b63485929cfb6bb32abe423afda17390,Daniel J. Benjamin,"Linn¨¦r, Richard K., Pietro Biroli, Edward Kong, S Fleur W Meddens, Robbee Wedow, Mark Alan Fontana, Ma?l Lebreton, ¡­, Jacob Gratten, James J Lee, David Cesarini, Daniel J. Benjamin, Philipp Koellinger, Jonathan P. Beauchamp (2019). ¡°Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences."" Nature Genetics, 51(2), 245-257. doi: 10.1038/s41588-018-0309-3",2019,"Linn¨¦r, Richard K","Higher educational attainment (EA) is negatively associated with schizophrenia (SZ). However, recent studies found a positive genetic correlation between EA and SZ. We investigate possible causes of this counterintuitive finding using genome-wide association study results for EA and SZ (N?=?443,581) and a replication cohort (1169 controls; 1067 cases) with deeply phenotyped SZ patients. We find strong genetic dependence between EA and SZ that cannot be explained by chance, linkage disequilibrium, or assortative mating. Instead, several genes seem to have pleiotropic effects on EA and SZ, but without a clear pattern of sign concordance. Using EA as a proxy phenotype, we isolate FOXO6 and SLITRK1 as novel candidate genes for SZ. Our results reveal that current SZ diagnoses aggregate over at least two disease subtypes: one part resembles high intelligence and bipolar disorder (BIP), while the other part is a cognitive disorder that is independent of BIP. Educational attainment and schizophrenia have a negative phenotypic relationship but show positive genetic correlation. Here, the authors study genetic dependence between the two traits and find that multiple genes have pleiotropic effects on both without a systematic pattern of sign concordance.",Semantic Scholar,15.82733813,10.1038/s41467-018-05510-z,https://www.semanticscholar.org/paper/9dd03d85407a89b06fbb1e94c54981f07127e96d,2018,Nature Communications,ok,"CR-biblio: 2019 Linn¨¦r, Richard K",,10.1038/s41467-018-05510-z,,Goal 15,0.008980862,FALSE,
