KEY,Name,pub_title,Abstract,Source,MatchScore,DOI,URL,Year_Found,Venue,Status,QueryUsed,CandidateTitle,CandidateDOI,WhyNoAbstract,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
b17d3d619078d16fc548474493372727b0ced63b,Allan Afuah,"A Critical Assessment of Business Model Research 
Opens a new window","Ever since the Internet boom of the mid-1990s, firms have been experimenting with new ways of doing business and achieving their goals, which has led to a branching of the scholarly literature on business models. Three interpretations of the meaning and function of “business models” have emerged from the management literature: (1) business models as attributes of real firms, (2) business models as cognitive/linguistic schemas, and (3) business models as formal conceptual representations of how a business functions. Relatedly, a provocative debate about the relationship between business models and strategy has fascinated many scholars. We offer a critical review of this now vast business model literature with the goal of organizing the literature and achieving greater understanding of the larger picture in this increasingly important research area. In addition to complementing and extending prior reviews, we also aim at a second and more important contribution: We aim at identifying the reasons behind the apparent lack of agreement in the interpretation of business models, and the relationship between business models and strategy. Whether strategy scholars consider business model research a new field may be due to the fact that the business model perspective may be challenging the assumptions of traditional theories of value creation and capture by focusing on value creation on the demand side and supply side, rather than focusing on value creation on the supply side only as these theories have done. We conclude by discussing how the business model perspective can contribute to research in different fields, offering future research directions.",Crossref,0.0,10.5465/annals.2014.0072,https://doi.org/10.5465/annals.2014.0072,2017.0,Academy of Management Annals,no_abstract_from_cr,CR-title:A Critical Assessment of Business Model Research Opens a new window,A Critical Assessment of Business Model Research,10.5465/annals.2014.0072,,Goal 9,0.01657914344849639,False,
59ec505d08bb3611425dc78d2016828e8d53df29,Hyun-Soo Ahn,"Dynamic Pricing with Point Redemption 
Opens a new window","Many sellers allow consumers to pay with reward points instead of cash or credit card. While the revenue implications of cash and credit card purchases are transparent, the implications of reward sales are not trivial, especially when a firm that issues points is not a seller. In this case, a seller receives a monetary compensation or reimbursement from the point issuer when a consumer purchases the good by redeeming points. In this paper, we examine how reward sales influence a seller’s pricing and inventory decisions. In particular, we consider a consumer who can choose to pay with cash or points based on her attributes – reservation price, point balance, and the perceived value of a point. Then, we incorporate this consumer choice model into a dynamic pricing model where a seller earns revenues from both cash and reward sales. In contrast to an intuition that adding reward sales will increase sales and revenue, we show that the effect of reward sales on the seller’s price is non-trivial as the seller could either add a premium or offer a discount depending on the inventory level, time, and the reimbursement rate. Furthermore, such price adjustments (premium or discount) can attenuate the optimal mark-up or mark-down level, and reduce the price fluctuation caused by inventory level and remaining time. We also investigate several settings where the seller has a different level of operational control over reward sales and show that the seller blocks the reward sales only when the reimbursement rate is very low. That is, allowing reward sales is still better even when the revenue from the reward sales is smaller than the cash sales. In addition, we find that a seller with an ability to control reward availability (i.e., allow a reward sale or not) can achieve a revenue similar to the revenue of a seller with ability to change point requirements and price at the same time.",Crossref,0.0,10.2139/ssrn.3426903,https://doi.org/10.2139/ssrn.3426903,2019.0,SSRN Electronic Journal,no_abstract_from_cr,CR-title:Dynamic Pricing with Point Redemption Opens a new window,Dynamic Pricing with Point Redemption,10.2139/ssrn.3426903,,Goal 8,0.004440998699167724,False,
fdd3bd38f8aa005bb9059a890c3ea358b2081e41,Hyun-Soo Ahn,"Algorithms for the two-stage production-capacitated lot-sizing problem 
Opens a new window","We model the two-stage production-capacitated lot-sizing problem as a concave minimum cost network flow problem and characterize the possible patterns of flow between successive periods in which transportation occurs. We demonstrate that production and transportation decisions can be made based only on the local state of transportation patterns between successive transportation periods. Utilizing this observation together with the insight that it is not necessary to consider transportation decisions between transportation periods, we provide a novel improved  algorithm (where T is the length of the planning horizon). We extend this approach to special cases, and develop an  algorithm for the case with non-speculative costs, and an  algorithm for the case with linear costs.",Crossref,0.0,10.1007/s10898-015-0392-2,https://doi.org/10.1007/s10898-015-0392-2,2015.0,Journal of Global Optimization,no_abstract_from_cr,CR-title:Algorithms for the two-stage production-capacitated lot-sizing problem Opens a n,Algorithms for the two-stage production-capacitated lot-sizing problem,10.1007/s10898-015-0392-2,,Goal 11,0.02778362010980887,False,transportation systems
0817daa2604853c69d15321501247342ebddf26f,Hyun-Soo Ahn,Rationing Capacity in Advance to Signal Quality,"We consider a seller who can sell her product over two periods, advance and spot. The seller has private information about the product quality, which is unknown to customers in advance and publicly revealed in spot. The question we consider is whether the seller has an incentive to signal quality in advance and, if so, how she can convey a credible signal of product quality.

We characterize the seller's signaling strategy and find that rationing of capacity in the advance period is an effective tool of signaling product quality. We find that the high-quality seller can distinguish herself by allocating less capacity than the low-quality seller in the advance period. We show that this signaling mechanism exists whenever advance selling would be optimal for both the high-quality and low-quality sellers if quality information was symmetric. We compare capacity rationing with other signaling tools, such as pricing and advertising, and show that capacity rationing is the preferred one.

Despite its capability of conveying quality information more efficiently than other tools, capacity rationing may still be very costly for the seller. When compared to the case when rationing was not allowed, the seller's ability to ration (rationing flexibility) sometimes makes the seller worse off, independently of her quality.",Crossref,0.0,10.2139/ssrn.2313474,https://doi.org/10.2139/ssrn.2313474,2012.0,SSRN Electronic Journal,no_abstract_from_cr,CR-title:Rationing Capacity in Advance to Signal Quality,Rationing Capacity in Advance Selling to Signal Quality,10.2139/ssrn.2313474,,Goal 17,0.0287020236930696,False,capacity building; statistical capacity building
bab23e21195c3f6cb959f7ad4272f676f85e21f1,Ravi Anupindi,"Vaccine supply chains: priority areas of action emerging from the COVID-19 pandemic, Commentary
Opens a new window","Vaccine supply chains – from raw material sourcing and production to getting vaccines into people’s arms – have been widely acknowledged as a key constraint to achieving high coverage for COVID-19 vaccines globally. While there has been extensive discussion on vaccine production and access, equally important are the complexities of sourcing critical components and raw materials; installing and maintaining cold chain infrastructure; vaccine supply chain information systems; and well-trained and motivated staff to run and manage the logistics of vaccine distribution. There is an urgent need for a blueprint (and accompanying governance structure) that lays out specific technical activities, public and private investments, and coordination tasks needed for the overall vaccine supply chain to be ready to handle large demand surges such as during pandemics and large outbreaks.",Crossref,0.0,10.18609/vac.2023.011,https://doi.org/10.18609/vac.2023.011,2023.0,Vaccine Insights,no_abstract_from_cr,CR-title:Vaccine supply chains: priority areas of action emerging from the COVID-19 pande,Vaccine supply chains: priority areas of action emerging from the COVID-19 pandemic,10.18609/vac.2023.011,,Goal 9,0.04824182686856189,False,
e01144244662a4fc5da138e120bfbe1306068f58,Ravi Anupindi,"Effective supply chain surveillance for PPE
Opens a new window","Control of the COVID-19 pandemic has been hampered by reported shortages of personal protective equipment (PPE) and other crucial supplies for health-care providers across the USA.1 A key impediment to increasing the supply to meet this demand is reliable data on nationwide needs.2 Reliable forecasting models could help provide information to more accurately scale PPE production, set expectations for health-care facilities on bidding and pricing, and enable appropriate deployment of resources, such as funds from the Coronavirus Aid, Relief, and Economic Security Act (2021).3 However, predictive modelling of needs for key necessities during public health disasters are largely non-existent. To the best of our knowledge, the most comprehensive publicly available data has been the Get Us PPE shortage index, but it is an incomplete and non-representative picture of national PPE needs within the USA.4 We recommend the following framework to better inform crisis response for inevitable future public health disasters.",Crossref,0.0,10.1016/s0140-6736(21)00783-2,https://doi.org/10.1016/s0140-6736(21)00783-2,2021.0,The Lancet,no_abstract_from_cr,CR-title:Effective supply chain surveillance for PPE Opens a new window,Effective supply chain surveillance for PPE,10.1016/s0140-6736(21)00783-2,,Goal 3,0.09834219090255412,True,COVID-19 impact
6e06fcae299f906b347f479887eab1fc5f7e5b3a,Anocha Aribarg,Marketing at Ross: 100 Years of Academic and Business Impact,"As our school approaches its centennial celebration, the entire Michigan-Ross community has been reflecting on its history of leadership and impact. This article leverages the school-wide efforts to review our history, beginning with a brief overview of the University of Michigan and the Stephen M. Ross School of Business. The article’s primary focus is on the Ross Marketing area, including its formation and evolution, with an emphasis on key figures and important scholarly contributions since the school’s inception in 1924. The article also highlights the marketing area’s strength in conducting interdisciplinary research characterized by rigor and impact, as well as its enduring commitment to training future thought leaders in the marketing discipline.",Crossref,0.0,10.1007/s40547-024-00146-1,https://doi.org/10.1007/s40547-024-00146-1,2024.0,Customer Needs and Solutions,no_abstract_from_cr,CR-title:Marketing at Ross: 100 Years of Academic and Business Impact,Marketing at Ross: 100 Years of Academic and Business Impact,10.1007/s40547-024-00146-1,,Goal 4,0.0403454030406169,False,
09b253f5d20018fa74ca9fa9e9035c1db88edcfd,Anocha Aribarg,Advances in Non-Compensatory Choice Models,"The extant choice literature has proposed different non-compensatory rules as a more realistic description of consumers’ choice than a standard compensatory model. Some research has further suggested a two-stage sequential decision process of non-compensatory consideration and then compensatory choice, where the determinants of each stage may differ. Some aspects of non-compensatory choice modeling are under-studied. In this article, we hope to advance the understanding of non-compensatory choice models with the following aims: (a) providing an overview of existing representations for non-compensatory choice decisions, (b) discussing how such choice decisions can manifest from the economic search theoretical perspective, (c) exploring the empirical identification of non-compensatory decisions using different data, and (d) presenting applications of non-compensatory choice models in novel domains.",Crossref,0.0,10.1007/s40547-017-0072-0,https://doi.org/10.1007/s40547-017-0072-0,2017.0,Customer Needs and Solutions,no_abstract_from_cr,CR-title:Advances in Non-Compensatory Choice Models,Advancing Non-compensatory Choice Models in Marketing,10.1007/s40547-017-0072-0,,Goal 17,0.009371567241549542,False,
ef057c2134da073e6c5e25d52cd434ed37a2c71c,Sue Ashford,Personal growth in organizations: a review and integrative theoretical framework,"Personal growth has interested management scholars for nearly a century, yet research on personal growth has not cohered into a substantive research domain. Nevertheless, various bodies of literature have made important strides in understanding specific elements of personal growth, such as the mindsets that foster such growth (e.g., growth mindset), growth following extreme challenges (e.g., post-traumatic growth), and personal growth within specific roles (e.g., leadership development). While these and other literature streams offer valuable insights about growth, they lack integration, resulting in an incomplete understanding of how employees achieve personal growth at work. To further research on personal growth in organizations, we review 292 articles from six streams of organizational and psychology literature that explore various aspects of personal growth. We provide an integration of the existing literature by developing a clear definition of personal growth, offering an integrative process model of personal growth, identifying opportunities for cross-pollination across growth literatures, and providing a clear agenda for future research on this topic. Our integrative framework responds to the expanding scholarly interest in personal growth and the increasing emphasis that individuals place on it as a crucial element of their working lives.",Crossref,0.0,10.5465/annals.2023.0073,https://doi.org/10.5465/annals.2023.0073,2025.0,Academy of Management Annals,no_abstract_from_cr,CR-title:Personal growth in organizations: a review and integrative theoretical framework,Personal Growth in Organizations: A Review and Integrative Theoretical Framework,10.5465/annals.2023.0073,,Goal 8,0.08671140947049413,True,inclusive growth
f4aac0700887580b7f3c063ed93fb5e051d53001,Sue Ashford,"Do I Dare? The Psychodynamics of Anticipated Image Risk, Leader Identity Endorsement, and Leader Emergence","Although many organizations value leadership across levels, individuals are reluctant to step up and lead. We explore how anticipated image risk (i.e., individuals’ beliefs that the act of leading might harm their image with others) and lay beliefs about leadership ability (i.e., that this ability is fixed versus malleable) may diminish individuals’ endorsement of a leader identity and thus their leadership emergence. Across MBA consulting teams, supervisor–employee dyads, and virtual workers, we find that lay theories of leadership ability moderate the negative relationship between anticipated image risk in leadership and leader-identity endorsement, which affects subsequent leadership emergence (Study 1). Using qualitative survey data, Study 2 identifies three specific image concerns that individuals associated with leading: seeming bossy, seeming unqualified, and seeming different from one’s peers. Study 3 tests whether a newly developed measure of three specific image risks similarly predicts leader-identity endorsement and emergence. Last, in Study 4 we experimentally manipulate the anticipation of image risk to show its causal impact on leader-identity endorsement and emergence.",Crossref,0.0,10.5465/amj.2018.1258,https://doi.org/10.5465/amj.2018.1258,2023.0,Academy of Management Journal,no_abstract_from_cr,"CR-title:Do I Dare? The Psychodynamics of Anticipated Image Risk, Leader Identity Endorse","Do I Dare? The Psychodynamics of Anticipated Image Risk, Leader-Identity Endorsement, and Leader Emergence",10.5465/amj.2018.1258,,Goal 5,0.02615066717620376,False,leadership roles; political leadership
