Name,Entry,Year,Title_Parsed,Abstract,Source,MatchScore,DOI,URL,Title,Department,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
Ashish Agarwal,"Karanam, S.A., Agarwal, A. and Barua, A. 2025. ""Follow Your Heart or Listen to Users? The Case of Mobile App Design"". Information Systems Research. 36, 3 (Sep. 2025), 1846-1870. DOI:https://doi.org/https://doi.org/10.1287/isre.2023.0060.",2025,"Karanam, S","This paper investigates methods for creating robust supply chains in a worldwide economy in light of growing disruptions. The primary goals were to evaluate supply chain resilience through integrating sustainable practices, investigate the impact of new technology, and explore solutions for diversification. A thorough analysis of case studies and literature regarding methodology was carried out, emphasizing secondary data sources from government publications, business reports, and scholarly journals. Significant research indicates that diversifying suppliers, production sites, and logistical routes can reduce the risks associated with localized interruptions. Proactive risk management requires enhanced visibility, predictive analytics, and operational efficiency, which may be achieved by integrating technologies like AI, IoT, blockchain, and cloud computing. Furthermore, integrating sustainability through ethical, sustainable sourcing, and resource-efficient methods reduces environmental and societal dangers and improves brand reputation and economic viability. The policy implications emphasize the need for frameworks that foster technology innovation, sustainability, and stakeholder collaboration. By implementing these tactics and resolving related issues, companies can construct flexible supply networks to sustain operations and competitiveness amidst fluctuations in the worldwide market.",Semantic Scholar,14.8936170212766,10.18034/ajtp.v11i1.719,https://www.semanticscholar.org/paper/03c17e753f14d611ae8987a9fde60c7b4f16be89,,,Goal 12,0.1062245040034674,True,corporate sustainability; environmentally friendly consumption; sustainability awareness; sustainability innovation; sustainable business practices; sustainable product design; sustainable supply chains
Ashish Agarwal,"Sharma, V., Agarwal, A. and Barua, A. 2025. Demand-Side Effects of Open Innovation: The Case of Cryptocurrency Forking. Management Science. 71, 8 (Aug. 2025), 7136 - 7160. DOI:https://doi.org/https://doi.org/10.1287/mnsc.2021.03132.",2025,"Sharma, V",How to cite this article: Govindasaami V. Correspondence to “Covid-19-associated Pulmonary Aspergillosis: A Case Series” by Sharma et al. Indian J Crit Care Med 2023;27(5):370.,Semantic Scholar,13.4615384615385,10.5005/jp-journals-10071-24459,https://www.semanticscholar.org/paper/fd2e4eb6154330b9fa352d27e9d4ee719fc92311,,,Goal 1,0.01350952371307992,False,
Ashish Agarwal,"Zheng, J., Agarwal, A. and Stamatapoulos, I. 2024. ""Promotional Inventory Displays: An Empirical Analysis Using IoT Data"". Manufacturing and Services Operations Management. 26, 5 (Jun. 2024), 1826-1841. DOI:https://doi.org/https://doi.org/10.1287/msom.2022.0291.",2024,"Zheng, J","Description An atlas of cancer-associated T cells The tumor microenvironment contains many different kinds of immune cells, the composition, function, and roles of which are unclear. Using single-cell RNA sequencing of T cells in 21 cancer types from more than 300 patients, Zheng et al. identified differences in transcript composition that could be used to catalog different T cell types (see the Perspective by van der Leun and Schumacher). These annotations identified the different roles of specific types of CD4+ and CD8+ T cells among the different tumor types. Some of these clusters revealed evidence for two developmental paths for T cells, one of which shows a trajectory toward the “exhausted” T cell state, knowledge of which may be useful in developing future cancer immunotherapies. —LMZ Single-cell RNA sequencing of cancer-associated T cells elucidates links between immune cell types and tumor characteristics. INTRODUCTION Cancer immunotherapies that target tumor-specific T cells have benefited many cancer patients, but the clinical efficacy varies greatly among different cancer types. Tumor-infiltrating T cells often enter a dysfunctional state, widely known as T cell exhaustion, and the antitumor functions of effector T cells are regulated by multiple factors, including the presence of regulatory T cells (Treg cells). The states and abundances of T cells vary across tumor microenvironments (TMEs) of different cancer types, which may fundamentally influence different clinical parameters such as drug response to immunotherapies. RATIONALE To build a high-resolution pan-cancer T cell atlas, we performed single-cell RNA sequencing (scRNA-seq) on tumors, paracancerous tissues, and blood samples from patients of various cancer types and collected additional published scRNA-seq datasets. The diverse data were integrated after correcting confounding factors and batch effects. This atlas was composed of scRNA-seq data from 316 patients across 21 cancer types. T cell receptor (TCR) sequences of individual T cells with gene expression profiles were assembled to characterize the expansion and dynamics of T cells. Various computational methods were applied to investigate the features and abundance of T cells across cancer types. RESULTS We identified multiple potentially tumor-reactive T cell (pTRT) populations in cancer patients. The states of the pTRTs varied dramatically in the tumor microenvironment of different cancer types. For CD8+ T cells, the major pTRTs were exhausted T cells and exhibited high heterogeneity. We computationally inferred two major developmental paths to T cell exhaustion, through effector memory T cells and tissue-resident memory T cells, respectively, and both were prevalent among cancer types. We also noted the state transitions between terminal exhausted T cells and cells such as natural killer (NK)–like T cells, Type 17 CD8+ T cells (Tc17 cells) cells, and CD8+ Treg cells, but such transitions tend to occur in specific cancer types. For CD4+ T cells, follicular helper T cell (TFH)/T helper 1 (TH1) dual-functional T cells, which appeared to originate from TFH cells, were also notable pTRTs and correlated with the tumor mutation burden. We also found that the transcriptional programs of pTRTs could be affected by transforming growth factor–β (TGF-β) and interferons in the TMEs. The abundances of T cell states vary dramatically depending on cancer types. On the basis of tumor-infiltrating T cell compositions, cancer patients could be immune-typed as a group with high frequencies of terminal exhausted CD8+ T cells and another group with high frequencies of tissue-resident memory CD8+ T cells, and the immune types were associated with clinical traits such as patient survival and responses to immune checkpoint blockade. CONCLUSION We depicted the pan-cancer landscape of T cell heterogeneity and dynamics in the TME and established a baseline reference for future temporal or spatial studies associated with cancer treatments. The systematic comparison across cancer types revealed the commonalities and differences of T cell states in different TMEs. Our detailed signature, dynamics, and regulations of tumor-infiltrating T cells will facilitate the development of immunotherapies, and our proposed immune-typing can aid the therapeutic and diagnostic strategies that target T cells. Systematic analysis of a human pan-cancer T cell atlas. We analyzed approximately 390,000 T cells from 316 patients of 21 cancer types by means of scRNA-seq. Combining gene expression profiles and T cell receptor sequences, we investigated the heterogeneity and dynamics of tumor-infiltrating T cells and performed a systematic comparison of T cells among cancer types. Additionally, we provided a T cell composition–based immune-typing scheme. KIR, killer cell immunoglobulin-like receptor; IL26, interleukin-26. T cells play a central role in cancer immunotherapy, but we lack systematic comparison of the heterogeneity and dynamics of tumor-infiltrating T cells across cancer types. We built a single-cell RNA-sequencing pan-cancer atlas of T cells for 316 donors across 21 cancer types and revealed distinct T cell composition patterns. We found multiple state-transition paths in the exhaustion of CD8+ T cells and the preference of those paths among different tumor types. Certain T cell populations showed specific correlation with patient properties such as mutation burden, shedding light on the possible determinants of the tumor microenvironment. T cell compositions within tumors alone could classify cancer patients into groups with clinical trait specificity, providing new insights into T cell immunity and precision immunotherapy targeting T cells.",Semantic Scholar,11.4285714285714,10.1126/science.abe6474,https://www.semanticscholar.org/paper/eda76900f3954e1930080779b5cfb92274a11da3,,,Goal 1,0.00451546921643153,False,
Ashish Agarwal,"Peng, J., Agarwal, A., Hosanagar, K. and Iyengar, R. 2018. Network Overlap and Content Sharing on Social Media Platforms. Journal of Marketing Research. 55, 4 (Aug. 2018), 571-585. DOI:https://doi.org/10.1509/jmr.14.0643.",2018,", Agarwal, A","Entropy minimization (EM) trains the model to concentrate even more probability mass on its most confident outputs. We show that this simple objective alone, without any labeled data, can substantially improve large language models' (LLMs) performance on challenging math, physics, and coding tasks. We explore three approaches: (1) EM-FT minimizes token-level entropy similarly to instruction finetuning, but on unlabeled outputs drawn from the model; (2) EM-RL: reinforcement learning with negative entropy as the only reward to maximize; (3) EM-INF: inference-time logit adjustment to reduce entropy without any training data or parameter updates. On Qwen-7B, EM-RL, without any labeled data, achieves comparable or better performance than strong RL baselines such as GRPO and RLOO that are trained on 60K labeled examples. Furthermore, EM-INF enables Qwen-32B to match or exceed the performance of proprietary models like GPT-4o, Claude 3 Opus, and Gemini 1.5 Pro on the challenging SciCode benchmark, while being 3x more efficient than self-consistency and sequential refinement. Our findings reveal that many pretrained LLMs possess previously underappreciated reasoning capabilities that can be effectively elicited through entropy minimization alone, without any labeled data or even any parameter updates.",Semantic Scholar,14.4578313253012,10.48550/arXiv.2505.15134,https://www.semanticscholar.org/paper/4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6,,,Goal 17,0.01013083686398181,False,
Anantaram Balakrishnan,"Balakrishnan, A., Sundaresan, S. and Mohapatra, C. 2024. Subscription Pricing for Free Delivery Services. Production and Operations Management. 33, 4 (Apr. 2024), 943-961. DOI:https://doi.org/10.1177/10591478241235001.",2024,"Balakrishnan, A","In this manuscript, we examine a nonlinear Cauchy problem aimed at describing the deformation of the deck of either a footbridge or a suspension bridge in a rectangular domain $ \Omega = (0, \pi)\times (-d, d) $, with $ d < < \pi $, incorporating hinged boundary conditions along its short edges, as well as free boundary conditions along its remaining free edges. We establish the existence of solutions and the exponential decay of energy.",Semantic Scholar,36.3636363636364,10.3934/era.2024075,https://www.semanticscholar.org/paper/c6820c2cde1c470bf77274e8478a16c1948e4f9f,,,Goal 7,0.07180237619449885,True,thermal energy
Anantaram Balakrishnan,"Balakrishnan, A., Mirchandani, P. and Lin, S. 2022. Crew Assignment with Duty Time Limits for Transport Services: Tight Multicommodity Models. Operations Research. 70, 2 (2022), 690-714. DOI:https://doi.org/10.1287/opre.2021.2155.",2022,"Balakrishnan, A","In this manuscript, we examine a nonlinear Cauchy problem aimed at describing the deformation of the deck of either a footbridge or a suspension bridge in a rectangular domain $ \Omega = (0, \pi)\times (-d, d) $, with $ d < < \pi $, incorporating hinged boundary conditions along its short edges, as well as free boundary conditions along its remaining free edges. We establish the existence of solutions and the exponential decay of energy.",Semantic Scholar,36.3636363636364,10.3934/era.2024075,https://www.semanticscholar.org/paper/c6820c2cde1c470bf77274e8478a16c1948e4f9f,,,Goal 7,0.07180237619449885,True,thermal energy
Anantaram Balakrishnan,"Balakrishnan, A., Li, G. and Mirchandani, P. 2017. Optimal Network Design with End-to-End Service Requirements. Operations Research. 65, 3 (Jun. 2017), 729-750. DOI:https://doi.org/10.1287/opre.2016.1579.",2017,"Balakrishnan, A","In this manuscript, we examine a nonlinear Cauchy problem aimed at describing the deformation of the deck of either a footbridge or a suspension bridge in a rectangular domain $ \Omega = (0, \pi)\times (-d, d) $, with $ d < < \pi $, incorporating hinged boundary conditions along its short edges, as well as free boundary conditions along its remaining free edges. We establish the existence of solutions and the exponential decay of energy.",Semantic Scholar,36.3636363636364,10.3934/era.2024075,https://www.semanticscholar.org/paper/c6820c2cde1c470bf77274e8478a16c1948e4f9f,,,Goal 7,0.07180237619449885,True,thermal energy
Indranil Bardhan,"Guo, T., Bardhan, I.R., Ding, Y. and Zhang, S. 2025. ""An Explainable Artificial Intelligence Approach Using Graph Learning To Predict Intensive Care Unit Length of Stay"". Information Systems Research. 36, 3 (Sep. 2025), 1478-1501. DOI:https://doi.org/https://pubsonline.informs.org/doi/full/10.1287/isre.2023.0029.",2025,", Bardhan, I","We introduce MoMask, a novel masked modeling framework for text-driven 3D human motion generation. In Mo-Mask, a hierarchical quantization scheme is employed to represent human motion as multi-layer discrete motion tokens with high-fidelity details. Starting at the base layer, with a sequence of motion tokens obtained by vector quan-tization, the residual tokens of increasing orders are de-rived and stored at the subsequent layers of the hierar-chy. This is consequently followed by two distinct bidirectional transformers. For the base-layer motion tokens, a Masked Transformer is designated to predict randomly masked motion tokens conditioned on text input at training stage. During generation (i. e. inference) stage, starting from an empty sequence, our Masked Transformer iteratively fills up the missing tokens; Subsequently, a Residual Transformer learns to progressively predict the next-layer tokens based on the results from current layer. Extensive experiments demonstrate that MoMask outperforms the state-of-art methods on the text-to-motion generation task, with an FID of 0.045 (vs e.g. 0.141 of T2M-GPT) on the HumanML3D dataset, and 0.228 (vs 0.514) on KIT-ML, respectively. MoMask can also be seamlessly applied in related tasks without further model fine-tuning, such as text-guided temporal inpainting.",Semantic Scholar,18.1818181818182,10.1109/CVPR52733.2024.00186,https://www.semanticscholar.org/paper/f52af2c0cf521b48edd50670e9ba9cd02646d2b4,,,Goal 16,0.005844179238499878,False,
Indranil Bardhan,"Xia, H., Lin, S., Li, S. and Bardhan, I.R. 2024. The Effect of Audit Committee Financial Expertise on Earnings Management Tactics in the Post-SOX Era. Advances in Accounting. 64, 100725 (Mar. 2024). DOI:https://doi.org/https://doi.org/10.1287/isre.2023.0029.",2024,", Lin, S","We introduce Goedel-Prover, an open-source language model that achieves state-of-the-art (as of April 5 2025) performance in automated formal proof generation for mathematical problems. A key challenge in this field is the scarcity of formalized mathematical statements and proofs, which we address through the following approaches. First, we train LLMs to convert natural language math problems from the Numina dataset to equivalent formal statements in Lean 4. This process creates the dataset Goedel-Pset-v1, which includes 1.64 million formal statements. Next, we develop a large dataset of formal proofs by training a series of provers. Each new prover can prove many statements that previous ones could not, and these new proofs are added to the training set for the next prover. Finally, we obtain the dataset Goedel-Pset-v1-solved, which contains proofs for over 800K statements from Goedel-Pset-v1. Supervised fine-tuning (SFT) of DeepSeek-Prover-V1.5-Base on Goedel-Pset-v1-solved (i.e., no RL) yields a Goedel-Prover-SFT that achieves a success rate of 57.6% (Pass@32) on miniF2F, surpassing the previous leader DeepSeek-Prover-V1.5-RL (trained using SFT + RL on a proprietary dataset) by 7.6%. On PutnamBench, Goedel-Prover-SFT successfully solves 7 problems (Pass@512), ranking first on the leaderboard. We provide extensive discussion of our training methodology, highlighting the key design choices that contribute to Goedel-Prover's strong performance. Further RL training (including DPO) improves Goedel-Prover-SFT's success rate to over 60% (Pass@32) on miniF2F. To aid future research, we provide extensive discussion of our training methodology and design choices. We also fully open-source our codes, models, and datasets. Additionally, we open-source formal proofs for 29.7K problems in Lean Workbook, nearly doubling the 15.7K solved by prior provers.",Semantic Scholar,9.87654320987654,10.48550/arXiv.2502.07640,https://www.semanticscholar.org/paper/a05d5102ce84d1830e1e0d8b7a6a7918bd9cfb68,,,Goal 4,0.007155964670884608,False,
Indranil Bardhan,"Bao, C. and Bardhan, I.R. 2023. Value Implications of Sourcing Electronic Health Records: The Role of Hospital Practice Integration. Information Systems Research. 34, 3 (Sep. 2023), 1169-1190. DOI:https://doi.org/https://doi.org/10.1287/isre.2022.1183.",2023,"and Bardhan, I","Hospitalization of patients with chronic diseases poses a significant burden on the healthcare system. Frequent hospitalization can be partially attributed to the failure of healthcare providers to engage effectively with their patients. Recently, patient portals have become popular as information technology (IT) platforms that provide patients with online access to their medical records and help them engage effectively with healthcare providers. Despite the popularity of these portals, there is a paucity of research on the impact of patient–provider engagement on patients’ health outcomes. Drawing on the theory of effective use, we examine the association between portal use and the incidence of subsequent patient hospitalizations, based on a unique, longitudinal dataset of patients’ portal use, across a 12-year period at a large academic medical center in North Texas. Our results indicate that portal use is associated with improvements in patient health outcomes along multiple dimensions, including the frequency of hospital and emergency visits, readmission risk, and length of stay. This is one of the first studies to conduct a large-scale, longitudinal analysis of a health IT system and its effect on individual-level health outcomes. Our results highlight the need for technologies that can improve patient–provider engagement and improve overall health outcomes for chronic disease management.",Semantic Scholar,35.2941176470588,10.25300/misq/2020/14180,https://www.semanticscholar.org/paper/065d8e1dd965a817aeb32705dcd5dce2cdc31b8c,,,Goal 3,0.122814652996107,True,health systems
