title,authors,year,url,Abstract,Source,MatchScore,DOI,URL_found,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
Behavior in Long-Run Projects and Elicited Time PreferencesManagerial and Decision Economics,"Akin, Z. & Yavas, A",2025,,"We investigate behavior in long-run projects and its relationship with experimentally elicited time preferences. Participants engage in a longitudinal project requiring sustained real effort, with their time preferences estimated through monetary outcomes. We observe a tendency to front-load real effort, with choices reflecting both present and future bias, the former being more prevalent and severe. We also find evidence of naive choice reversals. However, there is no support for the quasi-hyperbolic discounting model in monetary choices, and its predictions do not align with real effort allocation patterns. Nevertheless, discount rate and present bias parameters derived from monetary outcomes demonstrate predictive power over real effort allocation.",,0.0,,,Goal 5,0.004648727544077836,False,
"Housing Markets: Auctions, Microstructure Noise, and Weekly PatternsJournal of Banking and Finance","Arefeva, A",2025,,"This paper examines the drivers of housing market volatility through dynamic search-and-matching models that incorporate auctions. Two versions of the model are developed: one in which buyers visit homes randomly and another where search is directed by seller reserve prices. The analysis demonstrates that granular shocks and microstructure frictions—arising from the interaction of idiosyncratic and infrequent transactions, search frictions, and auctions-based pricing—generate persistent volatility, even in large markets such as Los Angeles. The paper also identifies systematic weekly patterns in housing activity, which account for up to 60% of monthly variation in sales and listings due to calendar composition. Recognizing and filtering out these predictable fluctuations ensures that the model targets economically meaningful sources of volatility. Together, granular shocks, microstructure frictions, and weekly patterns explain 70%–80% of sales and listings volatility, with the remainder driven by exogenous shocks. These findings underscore the importance of auctions, granular shocks, microstructure frictions, and weekly patterns in understanding housing market dynamics.",,0.0,,,Goal 1,0.02036941184286666,False,
Auditor Task PrioritizationContemporary Accounting Research,"Dierynck, B. & Peters, C",2025,,"We study how auditors prioritize their tasks and how differential task prioritization affects auditors' judgment performance. We leverage Conservation of Resources theory to build our predictions and test these predictions using three experiments with over 350 professional auditors. The first two experiments focus on investigating whether task prioritization affects auditors' judgment performance. Across two settings, we manipulate task order and find that prioritizing an easy task leads to lower judgment performance than prioritizing a difficult task. In our third experiment, we give auditors discretion over task ordering and find that they tend to prioritize easy tasks over difficult tasks. Easy task prioritization is further exacerbated under higher time pressure and is least prevalent in conditions where time pressure is lower and psychological ownership is enhanced.",,0.0,,,Goal 15,0.01577848008000159,False,
Health Risk and the Value of LifeJournal of Public Economics,"Bauer, D. & Lakdawalla, D. & Reif, J",2025,,"We extend the conventional life-cycle framework for valuing health and longevity improvements to a stochastic setting with multiple health states and apply it to data on mortality, quality of life, labor earnings, and medical spending for adults with different comorbidities. We find that sick adults are willing to pay nearly twice as much per quality-adjusted life-year (QALY) to reduce mortality risk as healthy adults, and that reducing the risk of serious illness is valued similarly to reducing the risk of mild illness. Our results provide a rational explanation for why people oppose a single threshold value for rationing care and why they invest less in prevention than in treatment.",,0.0,,,Goal 3,0.0966167366989347,True,health inequality
"Pricing Insurance Risk: Reconciling Theory and PracticeHandbook of Insurance, 3rd Edition","Bauer, D. & Phillips, R. & Zanjani, G",2025,,"This chapter starts by applying classical financial theory to the problem of insurance pricing. It proceeds by relaxing the classical assumptions of complete and frictionless markets and reviewing the literature on insurance pricing with various frictional costs. In the penultimate section, we compare and contrast the approaches used in practice with the models offered by academics. We conclude by identifying important areas for future research.",Crossref,0.0,10.1007/978-3-031-69674-9_11,https://doi.org/10.1007/978-3-031-69674-9_11,Goal 10,0.007218079848263269,False,
Credit Scores and Inequality Across the Life CycleNBER Macroeconomics Annual,"Corbae, D. & Chatterjee, S. & Dempsey, K. & Rios-Rull, J",2025,,"Credit scores are a primary screening device for the allocation of credit, housing, and sometimes even employment. In the data, credit scores grow and fan out with age; at the same time, income and consumption inequality also increase with a cohort’s age. We postulate a simple model with hidden information to explore the joint determination of credit scores, income, and consumption over an individual’s lifetime which can replicate these empirical facts. We use the model to understand the role of technologies like big data or legal restrictions limiting information on certain adverse events like medical expenses intended to increase credit market access.",Crossref,0.0,10.2139/ssrn.5350357,https://doi.org/10.2139/ssrn.5350357,Goal 10,0.05443052007124181,True,income growth
Employer Credit Checks: Poverty Traps versus Matching EfficiencyReview of Economic Studies,"Corbae, D. & Glover, A",2025,,"We develop a framework to understand pre-employment credit screening as a signal from credit markets that alleviates adverse selection in labour markets. In our theory, people differ in both their propensity to default on debt and the profits they create for firms that employ them; in our calibrated economy, highly productive workers have a low default probability. This leads firms to create more jobs for those with good credit, which creates a poverty trap: an unemployed worker with poor credit has a low job finding rate, but cannot improve her credit without a job. This manifests as an endogenous loss in present-discounted wages that is typically taken as exogenous in quantitative models of consumer default. Banning employer credit checks eliminates the poverty trap, but pools job seekers and reduces matching efficiency: average unemployment duration rises by 2 days for high productivity workers and falls by 13 days for low-productivity workers.",Crossref,0.0,10.18651/rwp2023-01,https://doi.org/10.18651/rwp2023-01,Goal 8,0.07564513092195033,True,precarious employment
Risk-Free Rates and Convenience Yields Around the WorldJournal of Finance,"Diamond, W. & Van Tassel, P",2025,,"This paper constructs risk-free interest rates implicit in index option prices for 10 of the major G11 currencies. We compare these rates to the yields of government bonds to provide international estimates of the convenience yield earned by safe assets. Average convenience yields across countries are highly correlated with the average interest rate in each country, ranging from 2 basis points in low-rate Switzerland to 61 basis points in high-rate Australia, with the moderate-rate US providing a middling 34 basis points. For each country, a covered interest parity (CIP) deviation constructed from its option-implied rates and those of the US is negative, with these negative CIP deviations growing sharply in periods of financial distress, including the 2020 covid crisis when convenience yields themselves remained moderate. We conclude that riskfree discount rates in the US are especially low due to its central position in the global financial system, particularly during financial crises, but that US safe assets do not earn an unusually large convenience yield in addition.",Crossref,0.0,10.2139/ssrn.4216822,https://doi.org/10.2139/ssrn.4216822,Goal 17,0.03463540576062216,False,
Printing Away the Mortgages: Fiscal Inflation and the Post-Covid BoomJournal of Financial Economics,"Diamond, W. & Landvoigt, T. & Sanchez, G",2025,,"We analyze interactions between fiscal and monetary stimulus in a new Keynesian model with nominal mortgage debt that can be inflated away. Redistributive transfers are most impactful when followed by a temporary deviation from inflation-targeting monetary policy. Unlike other fiscal policies, redistribution causes inflation even in the absence of long-run debt sustainability problems, and inflating away mortgages results in additional redistribution. In a quantitative model with mortgage refinancing frictions, transfer payments provide much more stimulus than the redistributive effects of inflation. Borrowers gradually refinance after their mortgages are inflated away, dampening their immediate consumption response and reducing their long-run labor supply.",Crossref,0.0,10.3386/w32573,https://doi.org/10.3386/w32573,Goal 17,0.03462966852870569,False,
The Effect of Public RPI and Public Goals on PerformanceJournal of Management Accounting Research,"Ahn, S. & Choi, J. & Yatsenko, D",2025,,"Recent studies find public relative performance information (RPI) may reduce performance. A common thread in these studies is the presence of other public information besides public RPI. We contribute to this line of research by demonstrating that the effects of public RPI on performance are weaker when employees set public performance goals than when they do not set any performance goals. We theorize this attenuating effect occurs because public RPI facilitates social comparisons between participants’ goals and their performance, and participants who set public performance goals seek to be known as goal attainers and garner favorable status in the eyes of their peers. Consistent with our theory, we find public RPI leads participants to set easier public performance goals and to be more likely to attain them. Collectively, these results reinforce the need for firms to consider what other information is made public when providing public RPI.",,0.0,,,Goal 11,0.03076763627431079,False,
